team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.6000180949998886,0.4855184,2.0499852,12.6963048,-10.6463196
Tunisia,0.10007855500001668,1.152241,2.4441806,9.03253,-6.588349399999999
Iraq,0.08680371333334867,1.1443002,1.7611398,7.2755671,-5.5144272999999995
Haiti,0.071827680000016,0.6741291,1.2780629,6.4117091,-5.1336462
Jordan,0.046821653333327926,1.5279399,2.0873277,6.5284657,-4.4411380000000005
Uzbekistan,0.020748901666668127,2.1269414,2.3736735,5.7176507,-3.3439772
South Africa,0.019820511666668587,1.6109003,1.7102937,5.3852307,-3.674937
Panama,0.01637954333333466,2.2698592,2.4887493,5.4721527,-2.9834034
DR Congo,0.011043719999999544,2.5670486,2.5920276,5.1507758,-2.5587481999999997
Ghana,0.0077622583333329985,2.8447013,2.8520583,4.9558871,-2.1038288
Paraguay,0.007265373333332854,2.6330564,3.3000655,6.4366143,-3.1365487999999995
Türkiye,0.0031972166666666135,2.9745616,2.7184495,4.3962986,-1.6778490999999995
Algeria,0.0019369083333333093,3.8351114,3.6239893,4.0856291,-0.4616398000000004
Senegal,0.0018210583333333151,3.9795792,3.8973204,4.1839875,-0.28666709999999984
Czechia,0.001794286666666637,2.7787799,3.4977031,4.4533525,-0.9556494000000004
Ecuador,0.0009351750000000099,3.55505,3.895198,3.2006242,0.6945738000000001
Austria,0.0005778333333333315,4.6626061,4.3243095,3.4965542,0.8277553000000002
Croatia,0.0003689166666666674,4.901003,4.3061413,3.1724871,1.1336542
Norway,0.00033446666666666713,5.0435499,4.9275016,3.3547595,1.5727421000000001
Colombia,0.00012124999999999991,5.5528345,4.8551183,2.7185331,2.1365852
Qatar,7.552500000000006e-05,2.1209968,2.3735172,5.0254829,-2.6519657
New Zealand,6.200000000000004e-05,2.1579607,3.4143008,6.0515433,-2.6372424999999997
Saudi Arabia,5.635833333333336e-05,2.6359054,2.7599944,5.0797107,-2.3197162999999996
Portugal,2.9874999999999988e-05,6.4704697,6.1385049,2.3723647,3.7661402
England,2.4083333333333337e-05,6.6543858,6.1875503,2.2339723,3.953578
Cape Verde,2.2433333333333338e-05,2.9380986,1.840498,3.0002968,-1.1597988000000001
France,2.1883333333333334e-05,6.6716789,6.4944871,2.2661348,4.228352299999999
Argentina,2.0358333333333335e-05,6.719544,6.2515253,2.1765028,4.075022499999999
Iran,1.836666666666667e-05,2.6615093,3.5946872,5.2151449,-1.6204577000000002
Bosnia & Herzegovina,4.700000000000001e-06,3.7675023,3.5194508,3.5150408,0.004410000000000025
Uruguay,3.1e-06,3.8656644,3.5678881,3.4891519,0.07873619999999981
Japan,8.833333333333334e-07,4.7477261,5.189717,3.7508832,1.4388337999999998
Canada,8e-07,4.5193258,4.2948712,3.0127128,1.2821584000000001
Egypt,7.5e-07,4.6212624,3.914562,2.6735253,1.2410367
Switzerland,5.833333333333333e-07,4.6979298,4.1542364,2.7888391,1.3653973000000001
Netherlands,5e-07,5.2659858,6.0111046,3.6703658,2.3407388000000005
Morocco,2.8333333333333336e-07,5.3096883,4.9002942,2.5046522,2.395642
Brazil,2e-07,5.8801528,6.1168099,2.3504578,3.7663520999999998
Belgium,1e-07,5.6685411,5.3521262,2.3354627,3.0166635
Spain,1e-07,5.7358831,4.7283646,1.3275857,3.4007788999999997
Mexico,0.0,6.5606374,4.9499286,1.7998077,3.1501209
Scotland,0.0,4.4201069,2.5770471,3.605395,-1.0283479
South Korea,0.0,6.0424117,4.6873353,3.2068698,1.4804654999999998
Sweden,0.0,4.9311155,6.9770684,4.1682916,2.8087768000000004
Australia,0.0,4.8962566,3.8713966,3.1040128,0.7673838000000002
USA,0.0,6.4649961,7.2002459,3.1532318,4.0470141
Ivory Coast,0.0,6.319416,4.7050218,2.5946517,2.1103701
Germany,0.0,6.9774975,10.7452907,2.903915,7.8413757
