team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.5910712449998152,0.4795275,2.0402183,12.6995766,-10.659358300000001
Iraq,0.13618094999993882,0.6980506,2.164244,9.1527194,-6.9884754000000004
Tunisia,0.09284973666669179,1.1428436,2.433618,9.037305,-6.603687
Haiti,0.061041238333349894,0.6847293,1.2730407,6.3522423,-5.0792016
Jordan,0.03874837166665795,1.0739379,2.4541079,7.3524006,-4.898292700000001
Uzbekistan,0.01949446833333498,2.1018151,2.3834061,5.807302,-3.4238958999999998
South Africa,0.016229376666668432,1.6126548,1.7086235,5.3807473,-3.6721238000000005
Panama,0.013316036666666451,2.3206697,2.4905828,5.4068884,-2.9163056
DR Congo,0.009404874999999549,2.5635472,2.5639903,5.1120076,-2.5480173
Ghana,0.00703638833333296,2.7790293,2.7655583,4.9588699,-2.1933116
Paraguay,0.005858800000000269,2.6232943,3.2877066,6.4370404,-3.1493338
Algeria,0.0030035283333332847,3.3210556,2.9448816,5.0755774,-2.1306958000000003
Türkiye,0.002313614999999954,2.9930817,2.7261339,4.3784987,-1.6523647999999995
Czechia,0.0011760000000000154,2.7871135,3.5021511,4.444424,-0.9422728999999999
Senegal,0.001115420000000011,3.557667,4.3302229,5.0685922,-0.7383693000000005
Ecuador,0.0006362449999999967,3.5502465,3.88428,3.202838,0.6814420000000001
Croatia,0.00027747500000000066,4.8881427,4.3094464,3.2071701,1.1022762999999998
Colombia,7.884166666666672e-05,5.5652457,4.9101092,2.737338,2.1727712
Qatar,3.837499999999999e-05,2.1572676,2.3893499,4.9652626,-2.5759127
New Zealand,3.6291666666666657e-05,2.1446123,3.4187672,6.0927,-2.6739327999999998
Saudi Arabia,2.978166666666666e-05,2.6525899,2.7719288,5.0753656,-2.3034367999999996
Portugal,1.664166666666667e-05,6.4950418,6.1261477,2.3270057,3.799142
England,1.4683333333333337e-05,6.6810141,6.2495598,2.2422189,4.0073409
Cape Verde,1.2583333333333334e-05,2.9034152,1.8298182,3.0565002,-1.2266819999999998
Iran,1.2461666666666666e-05,2.6404123,3.5933239,5.2398156,-1.6464917
Bosnia & Herzegovina,2.6333333333333332e-06,3.7364326,3.4757793,3.526338,-0.050558699999999845
Uruguay,1.6533333333333335e-06,3.8882079,3.6108502,3.4917398,0.11911039999999984
Canada,6e-07,4.5066295,4.2827166,3.0248278,1.2578887999999995
Japan,5.5e-07,4.7499193,5.1901399,3.7482659,1.4418740000000003
Switzerland,3.3333333333333335e-07,4.698458,4.1618159,2.7932333,1.3685825999999999
Netherlands,3e-07,5.2737997,6.016759,3.6646792,2.3520798000000003
Egypt,2e-07,4.6679239,3.9781654,2.6702141,1.3079513
Morocco,1.5e-07,5.2956472,4.855379,2.4936437,2.3617353000000003
Spain,1e-07,5.7378134,4.7372872,1.3262788,3.4110084
Brazil,5e-08,5.8689515,6.0677211,2.3441679,3.7235532
USA,0.0,6.4582013,7.2006634,3.162311,4.0383524
France,0.0,7.5315271,7.7213081,2.5225364,5.1987717
Australia,0.0,4.8941043,3.8732175,3.1098713,0.7633462
Sweden,0.0,4.9322146,6.9793271,4.1695939,2.8097332
Austria,0.0,5.1660559,5.0724818,3.9656233,1.1068585000000004
South Korea,0.0,6.0450469,4.6887522,3.203905,1.4848472
Germany,0.0,6.9742465,10.7421276,2.9070399,7.8350877
Scotland,0.0,4.4272948,2.5647709,3.5708578,-1.0060869000000001
Ivory Coast,0.0,6.3338203,4.7223365,2.5795079,2.1428286
Argentina,0.0,7.5728511,7.3731423,1.4510123,5.922129999999999
Belgium,0.0,5.6630084,5.3543502,2.341877,3.0124731999999996
Mexico,0.0,6.5463884,4.9397055,1.810156,3.1295494999999995
Norway,0.0,5.4304347,6.4268846,3.8988116,2.528073
