qualifying_groups_key,appearances,probability
ABCDFIJL,785324,0.0785324
ABCFHIJL,744793,0.0744793
ABCFIJKL,633026,0.0633026
ABCFHIKL,454551,0.0454551
ABFHIJKL,391644,0.0391644
ABCDFJKL,339312,0.0339312
ABCFHJKL,326826,0.0326826
ABCDFHJL,297496,0.0297496
ABCFGIJL,285734,0.0285734
ABCFGHIL,206174,0.0206174
ABFGHIJL,178189,0.0178189
ABCFGIKL,174341,0.0174341
ABCDFHIL,168231,0.0168231
ABCDFIKL,154116,0.0154116
ABFGIJKL,150720,0.015072
ABCFGHJL,148496,0.0148496
ABFGHIKL,147867,0.0147867
ABCEFIJL,147302,0.0147302
ABCDFGJL,136348,0.0136348
BCFHIJKL,134323,0.0134323
ABCFGJKL,125473,0.0125473
ABCHIJKL,110479,0.0110479
ABCFGHKL,109783,0.0109783
ABCEFHIL,105294,0.0105294
ABDFHIJL,103900,0.01039
BFGHIJKL,100363,0.0100363
ABFGHJKL,98990,0.009899
ABDFIJKL,94885,0.0094885
BCFGHIKL,91061,0.0091061
ABEFHIJL,89996,0.0089996
ABCEFIKL,88976,0.0088976
ABCFHIJK,78727,0.0078727
ABEFIJKL,75927,0.0075927
ABCEFHJL,75629,0.0075629
ABEFHIKL,74349,0.0074349
BCFGHJKL,68815,0.0068815
ABCDFGIL,64353,0.0064353
ABCEFJKL,64224,0.0064224
BCFGHIJL,59206,0.0059206
ABCDFHKL,58680,0.005868
ABCDEFJL,57793,0.0057793
BCFGIJKL,55598,0.0055598
ABCEFHKL,54876,0.0054876
ABCGHIJL,50672,0.0050672
ABEFHJKL,48836,0.0048836
BEFHIJKL,46700,0.00467
ABCGHIKL,46106,0.0046106
BCEFHIKL,42487,0.0042487
ABCGIJKL,42360,0.004236
ABGHIJKL,41638,0.0041638
ABCEFGIL,40617,0.0040617
ABDFGIJL,39748,0.0039748
ABCDHIJL,36692,0.0036692
ABDFHJKL,36267,0.0036267
ABCFGHIJ,35766,0.0035766
ABCFGHIK,35282,0.0035282
ABEFGIJL,34783,0.0034783
BCEFHJKL,34592,0.0034592
BCGHIJKL,34118,0.0034118
ABEFGHIL,33953,0.0033953
ABCDEFIL,33536,0.0033536
BEFGHIKL,33083,0.0033083
ABCDIJKL,32132,0.0032132
ABCGHJKL,32110,0.003211
ABFGHIJK,31655,0.0031655
ABCFGIJK,30059,0.0030059
ABCEFGJL,28755,0.0028755
ABEFGIKL,28213,0.0028213
BCEFHIJL,27966,0.0027966
BCEFIJKL,27797,0.0027797
BEFGHJKL,25156,0.0025156
ABCEHIJL,25122,0.0025122
ABCEFGHL,24981,0.0024981
ABCDFGHL,24926,0.0024926
BCEFGHKL,23527,0.0023527
ABDFHIKL,23410,0.002341
ABCEHIKL,22866,0.0022866
ABCDFGKL,22494,0.0022494
ABEFGHJL,22254,0.0022254
ABCFGHJK,21766,0.0021766
ABEFGHKL,21459,0.0021459
ABCEIJKL,21405,0.0021405
ABCEFGKL,21126,0.0021126
ABDEFIJL,20839,0.0020839
BEFGHIJL,20747,0.0020747
ABEHIJKL,20687,0.0020687
BEFGIJKL,19556,0.0019556
ABEFGJKL,18858,0.0018858
BCEFGHIL,18662,0.0018662
BCEFGIKL,18253,0.0018253
ABCEFHIJ,18184,0.0018184
ABCEFHIK,17315,0.0017315
BCFGHIJK,16627,0.0016627
BCEHIJKL,16044,0.0016044
ABEFHIJK,15906,0.0015906
ABCEHJKL,15728,0.0015728
ABDFGHJL,15568,0.0015568
ABCEFIJK,15110,0.001511
BCEFGJKL,14845,0.0014845
BCEFGHJL,13970,0.001397
ABDFGJKL,13832,0.0013832
ABCDGIJL,13792,0.0013792
ABCDEFHL,12628,0.0012628
ABCDHJKL,12522,0.0012522
BEGHIJKL,12400,0.00124
ABCDEFKL,11725,0.0011725
BCEGHIKL,11655,0.0011655
BCEFGIJL,11588,0.0011588
ABCDFHIJ,10777,0.0010777
ABCEFHJK,10564,0.0010564
ABDFGHIL,10185,0.0010185
ABCEGHIL,10179,0.0010179
ABEGHIKL,9951,0.0009951
ABCEGIJL,9677,0.0009677
ABCGHIJK,9606,0.0009606
ABCDFIJK,9441,0.0009441
ABEGHIJL,9382,0.0009382
ABDFGIKL,9167,0.0009167
BCEGHJKL,9137,0.0009137
ABCEGIKL,8790,0.000879
ABCDHIKL,8416,0.0008416
ABEGIJKL,7899,0.0007899
ABDEFHJL,7889,0.0007889
ABCEFGHI,7878,0.0007878
BCEFHIJK,7834,0.0007834
ABEFGHIK,7443,0.0007443
ABCDEIJL,7314,0.0007314
ABDEFJKL,7258,0.0007258
ABCEGHKL,7245,0.0007245
ABCEGHJL,7218,0.0007218
ABEFGHIJ,7191,0.0007191
BCEGHIJL,7053,0.0007053
BCEGIJKL,6992,0.0006992
ABEGHJKL,6946,0.0006946
ABCEFGIJ,6919,0.0006919
ABCEFGIK,6721,0.0006721
ABEFGIJK,6144,0.0006144
ABCEGJKL,6051,0.0006051
BEFGHIJK,5820,0.000582
ABCDGHJL,5472,0.0005472
ABDEFHIL,5188,0.0005188
ABCEFGHK,5169,0.0005169
BCEFGHIK,5142,0.0005142
ABDHIJKL,5066,0.0005066
ABCDEFGL,5021,0.0005021
ABCEFGHJ,4863,0.0004863
ABEFGHJK,4845,0.0004845
ABCDGJKL,4839,0.0004839
ABCEHIJK,4719,0.0004719
ABDEFIKL,4619,0.0004619
ABCDFGIJ,4203,0.0004203
ABCEFGJK,4151,0.0004151
BCEFGHJK,3967,0.0003967
ABCDFHJK,3776,0.0003776
ABCDGHIL,3717,0.0003717
ABDFGHKL,3559,0.0003559
BCEFGHIJ,3472,0.0003472
BCEFGIJK,3254,0.0003254
ABCDGIKL,3130,0.000313
ABDEFGJL,3114,0.0003114
ABCDEHJL,2976,0.0002976
ABCDFHIK,2526,0.0002526
ABCDEJKL,2448,0.0002448
ABCEGHIK,2270,0.000227
ABDGHIJL,2264,0.0002264
ABCDEFIJ,2257,0.0002257
ABCEGHIJ,2199,0.0002199
ABEGHIJK,2163,0.0002163
BCEGHIJK,2034,0.0002034
ABDEFGIL,2033,0.0002033
ABDGIJKL,2008,0.0002008
ABCDEHIL,1910,0.000191
ABCEGIJK,1859,0.0001859
ABDEFHKL,1831,0.0001831
ABCEGHJK,1683,0.0001683
ABCDFGHJ,1627,0.0001627
ABCDEIKL,1577,0.0001577
