team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Tunisia,0.7336066749994066,0.187962,1.4805389,12.0721408,-10.5916019
Iraq,0.13971006666651897,0.3826659,1.6934175,9.5518323,-7.858414799999999
Uzbekistan,0.1007228666667402,0.8922417,1.9796324,9.6969317,-7.7172993000000005
Jordan,0.0086011249999993,0.3215991,2.5638929,7.5381729,-4.97428
Panama,0.007941741666666394,0.3095965,0.6373972,4.7453191,-4.1079219
Haiti,0.006575550000000025,0.0,2.0,8.0,-6.0
Türkiye,0.0028175416666666327,1.0006505,1.1858119,4.7689225,-3.5831106000000004
Senegal,2.4433333333333335e-05,2.4722235,5.5518323,6.6934175,-1.1415851999999997
Portugal,0.0,5.811144,7.5927044,1.9653914,5.627313
Morocco,0.0,7.0,6.0,3.0,3.0
Netherlands,0.0,6.7227232,10.0721408,3.4805389,6.5916019
New Zealand,0.0,1.2953674,3.6245673,7.7846539,-4.1600866000000005
Norway,0.0,6.802015,8.0500801,4.9790542,3.0710259000000004
Paraguay,0.0,4.4916472,3.0342557,4.8472931,-1.8130373999999998
Scotland,0.0,3.0,1.0,4.0,-3.0
Qatar,0.0,1.0,2.0,10.0,-8.0
Saudi Arabia,0.0,2.3066642,2.2048741,6.285634,-4.0807599
South Africa,0.0,4.8490594,2.8283366,4.5647903,-1.7364537000000002
South Korea,0.0,3.0,2.0,3.0,-1.0
Spain,0.0,6.1526944,5.9526878,0.7876674,5.1650203999999995
Sweden,0.0,3.9465025,7.0363867,7.6731496,-0.6367628999999999
Switzerland,0.0,7.0,7.0,3.0,4.0
USA,0.0,7.7655587,7.7689225,2.1858119,5.5831106
Uruguay,0.0,2.6381228,3.7876674,4.9526878,-1.1650203999999995
Mexico,0.0,9.0,6.0,0.0,6.0
Algeria,0.0,4.2107448,2.9201233,5.0945653,-2.174442
Argentina,0.0,8.5419966,7.5381729,0.5638929,6.97428
Ivory Coast,0.0,5.5869808,4.7528376,2.6002789,2.1525587
Australia,0.0,4.190575,2.8472931,3.0342557,-0.1869626000000002
Austria,0.0,4.4837829,4.0945653,3.9201233,0.17444199999999999
Belgium,0.0,4.5837296,3.7846539,1.6245673,2.1600865999999996
Bosnia & Herzegovina,0.0,4.0,5.0,6.0,-1.0
Brazil,0.0,7.0,7.0,1.0,6.0
Canada,0.0,5.8965967,9.5647903,3.8283366,5.7364537
Cape Verde,0.0,3.422742,3.285634,3.2048741,0.08075989999999988
Colombia,0.0,6.9379304,4.9653914,2.5927044,2.3726869999999995
Croatia,0.0,4.9072473,4.5223162,4.779297,-0.2569808
Curaçao,0.0,1.2914321,1.6002789,9.7528376,-8.1525587
Czechia,0.0,1.0,2.0,6.0,-4.0
DR Congo,0.0,2.8672255,2.6969317,2.9796324,-0.2827006999999999
Ecuador,0.0,1.7278531,0.9834121,3.048095,-2.0646829
Egypt,0.0,5.5430357,5.147432,2.8979673,2.2494647000000003
England,0.0,6.5656658,6.7453191,2.6373972,4.107921899999999
France,0.0,7.9831945,7.9790542,2.0500801,5.9289741
Germany,0.0,8.0654169,11.048095,2.9834121,8.064682900000001
Ghana,0.0,4.8339199,1.779297,1.5223162,0.2569808
Iran,0.0,3.1556868,2.8979673,3.147432,-0.24946469999999987
Japan,0.0,5.8106651,7.6731496,3.0363867,4.636762900000001
