team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.2628037166666741,0.8431213,1.6524114,8.4738068,-6.8213954
Iraq,0.14014455666665965,1.1766458,1.7958195,7.2258918,-5.430072300000001
Haiti,0.1202366716666693,1.4017896,2.113507,7.3399072,-5.2264002000000005
Jordan,0.08714645333334038,1.526298,2.1756455,6.7065357,-4.5308902
Qatar,0.07227529666666999,1.5700804,1.9570175,6.2172599,-4.2602424
Cape Verde,0.044517148333331355,2.2083745,2.4943065,6.2114305,-3.7171239999999997
Saudi Arabia,0.04436783833333123,2.1382938,2.3692992,6.0132914,-3.6439922
Uzbekistan,0.03618910999999916,2.1820035,2.4649877,5.7214752,-3.2564875000000004
Panama,0.03116868500000006,2.2655046,2.5275449,5.5281798,-3.0006349
New Zealand,0.029490965000000344,2.2334122,2.4018139,5.3457066,-2.9438926999999997
DR Congo,0.020350713333333895,2.5856751,2.6282043,5.1470277,-2.5188233999999996
Tunisia,0.019971943333333925,2.4761973,2.5311114,4.9341183,-2.4030069
South Africa,0.01666650666666679,2.5726164,2.4878274,4.7102293,-2.2224019
Ghana,0.013469811666666382,2.9074591,2.9044278,4.8936338,-1.9892059999999998
Australia,0.013037391666666323,2.827172,2.8021827,4.6527559,-1.8505732
Iran,0.005091630000000035,3.5240106,3.1418353,4.0860866,-0.9442512999999999
Scotland,0.005060315000000046,3.683694,3.5711102,4.2528874,-0.6817771999999995
Bosnia & Herzegovina,0.0045915416666666865,3.6534939,3.4178482,4.1138485,-0.6960002999999997
Sweden,0.004487811666666685,3.6656573,3.4064964,4.0953389,-0.6888424999999998
Algeria,0.004298013333333345,3.7557509,3.5807005,4.1973718,-0.6166713000000001
Paraguay,0.0037092883333333273,3.7275273,3.2891809,3.7934179,-0.5042370000000003
Senegal,0.003495586666666654,3.9586459,3.8347797,4.1222149,-0.28743520000000045
Czechia,0.002801723333333318,3.9583631,3.4902544,3.7028114,-0.21255699999999988
South Korea,0.00253973333333332,4.0369939,3.5473594,3.6369145,-0.08955510000000011
Egypt,0.001825278333333338,4.2582379,3.6692726,3.5163454,0.15292720000000015
Ivory Coast,0.0016311283333333385,4.3701706,4.1903528,3.6626239,0.5277289000000005
Japan,0.0011851416666666698,4.6237798,4.1072575,3.4038402,0.7034173000000004
Austria,0.001058820000000001,4.749694,4.562105,3.5332805,1.0288244999999998
Türkiye,0.0008899149999999985,4.8513194,4.335382,3.2783444,1.0570376000000001
Morocco,0.0008565416666666655,4.8544127,4.4761022,3.3407977,1.1353044999999997
Croatia,0.0007759499999999978,4.8874331,4.3548312,3.2557384,1.0990927999999998
Ecuador,0.0007313499999999987,4.9093113,4.5594383,3.2192052,1.3402330999999998
USA,0.0006788999999999988,5.0307881,4.451198,3.1534254,1.2977725999999996
Norway,0.0005933749999999995,5.0574289,4.9739441,3.3612609,1.6126831999999998
Uruguay,0.0005261583333333333,5.1830863,4.784915,3.2245184,1.5603965999999998
Canada,0.00035565000000000027,5.3145294,4.7102824,2.8960084,1.8142739999999997
Colombia,0.00024456999999999994,5.5042956,4.8228893,2.7699995,2.0528898
Netherlands,0.00023506666666666662,5.7478806,5.2164794,2.8280473,2.3884320999999997
Mexico,0.00013632499999999994,5.8915146,4.9070767,2.3825627,2.5245140000000004
Switzerland,8.834166666666671e-05,6.1416649,5.5883754,2.4464067,3.1419687000000005
Portugal,5.365833333333333e-05,6.4385049,6.1677672,2.4453461,3.7224211
England,4.7375e-05,6.6111679,6.2148857,2.3241376,3.8907481
Belgium,4.711666666666666e-05,6.5729371,5.9886924,2.2534756,3.7352168
France,3.7733333333333333e-05,6.6324851,6.339871,2.2350467,4.1048243
Argentina,3.554166666666666e-05,6.7337397,6.3054989,2.1867619,4.118736999999999
Germany,2.7391666666666667e-05,6.7680094,7.3337703,2.3803369,4.9534334
Brazil,2.1620000000000003e-05,6.8639413,6.9789921,2.2061192,4.7728729
Spain,4.6e-06,7.353095,7.6880125,1.8872929,5.8007196
