team_1,team_2,team_1_win,simulated_team_1_win,draw,simulated_draw,team_2_win,simulated_team_2_win
🇲🇽 Mexico,🇿🇦 South Africa,0.6675202924174536,0.6673776,0.2180407106330345,0.2172471,0.1144389969495118,0.1153753
🇨🇿 Czechia,🇰🇷 South Korea,0.3260521416951246,0.3438453,0.3141474560636544,0.2801934,0.359800402241221,0.3759613
🇧🇦 Bosnia & Herzegovina,🇨🇦 Canada,0.2054653606778744,0.2174664,0.2733951182553834,0.2555594,0.5211395210667422,0.5269742
🇵🇾 Paraguay,🇺🇸 USA,0.2257721313621083,0.2370085,0.2824000943365291,0.2647891,0.4918277743013626,0.4982024
🇶🇦 Qatar,🇨🇭 Switzerland,0.0693223628510729,0.0684984,0.1471125979711573,0.1476606,0.7835650391777698,0.783841
🇧🇷 Brazil,🇲🇦 Morocco,0.5706719359605944,0.5750141,0.2528918781341865,0.2367074,0.176436185905219,0.1882785
🇭🇹 Haiti,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.1622670805838595,0.1674734,0.2285435820116028,0.2205416,0.6091893374045376,0.611985
🇦🇺 Australia,🇹🇷 Türkiye,0.1824156716722405,0.1939491,0.2562896534730484,0.2396096,0.5612946748547111,0.5664413
🇨🇼 Curaçao,🇩🇪 Germany,0.0260149453569449,0.0225698,0.0575899742275841,0.0606588,0.9163950804154708,0.9167714
🇯🇵 Japan,🇳🇱 Netherlands,0.2611009257229394,0.2717801,0.2708911415456944,0.2533392,0.4680079327313661,0.4748807
🇪🇨 Ecuador,🇨🇮 Ivory Coast,0.3946820907165954,0.4130038,0.3370204656526046,0.2953972,0.2682974436307999,0.291599
🇸🇪 Sweden,🇹🇳 Tunisia,0.4980095864727751,0.5024822,0.280189204992019,0.2657189,0.2218012085352058,0.2317989
🇨🇻 Cape Verde,🇪🇸 Spain,0.0390656515346131,0.035853,0.0883738183280067,0.0911116,0.8725605301373802,0.8730354
🇧🇪 Belgium,🇪🇬 Egypt,0.5761030396789393,0.5800261,0.2475734319510393,0.234584,0.1763235283700214,0.1853899
🇸🇦 Saudi Arabia,🇺🇾 Uruguay,0.1216837243390204,0.1286126,0.2153350221156483,0.2061462,0.6629812535453312,0.6652412
🇮🇷 Iran,🇳🇿 New Zealand,0.5169642269351471,0.5210289,0.2736653939634245,0.2608149,0.2093703791014284,0.2181562
🇫🇷 France,🇸🇳 Senegal,0.6510666703213182,0.6524207,0.2176077905456182,0.2101665,0.1313255391330635,0.1374128
🇮🇶 Iraq,🇳🇴 Norway,0.0692195813235844,0.0666702,0.1389204955640111,0.1412172,0.7918599231124045,0.7921126
🇩🇿 Algeria,🇦🇷 Argentina,0.1068606192026473,0.1152377,0.2067075949073669,0.1973217,0.6864317858899857,0.6874406
🇦🇹 Austria,🇯🇴 Jordan,0.7218962447642459,0.7221284,0.1760004854247902,0.1721698,0.1021032698109639,0.1057018
🇨🇩 DR Congo,🇵🇹 Portugal,0.0881213465587004,0.0911674,0.1724249651731493,0.1685687,0.7394536882681503,0.7402639
🇭🇷 Croatia,🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,0.1941770824559746,0.2015755,0.2554870576970101,0.2450006,0.5503358598470153,0.5534239
🇬🇭 Ghana,🇵🇦 Panama,0.4462041397393009,0.4503658,0.2813730355887218,0.2721355,0.2724228246719773,0.2774987
🇨🇴 Colombia,🇺🇿 Uzbekistan,0.6831826286922301,0.6841516,0.2052258094164058,0.2012909,0.111591561891364,0.1145575
🇨🇿 Czechia,🇿🇦 South Africa,0.480529677283497,0.4865647,0.2864358318936244,0.2684219,0.2330344908228785,0.2450134
🇧🇦 Bosnia & Herzegovina,🇨🇭 Switzerland,0.165118257975788,0.1716882,0.2407079725866696,0.2321125,0.5941737694375422,0.5961993
🇨🇦 Canada,🇶🇦 Qatar,0.7277448371556186,0.7279985,0.1839915443555157,0.1816048,0.0882636184888657,0.0903967
🇲🇽 Mexico,🇰🇷 South Korea,0.5249865575677853,0.5287723,0.2697263811104312,0.2578944,0.2052870613217835,0.2133333
🇦🇺 Australia,🇺🇸 USA,0.2082152468518936,0.2105972,0.2518957396324816,0.2486941,0.5398890135156248,0.5407087
🇲🇦 Morocco,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.4798002372080449,0.4865436,0.2877882772926077,0.2697492,0.2324114854993473,0.2437072
🇧🇷 Brazil,🇭🇹 Haiti,0.8842829799872892,0.8841735,0.0803862524954406,0.0824923,0.0353307675172702,0.0333342
🇵🇾 Paraguay,🇹🇷 Türkiye,0.2798430889583136,0.2915463,0.2979596917752823,0.2771784,0.4221972192664041,0.4312753
🇳🇱 Netherlands,🇸🇪 Sweden,0.5746745075579929,0.5768412,0.2407865409414576,0.2327256,0.1845389515005494,0.1904332
🇩🇪 Germany,🇨🇮 Ivory Coast,0.6115161942562863,0.61254,0.2231533597232579,0.2177341,0.1653304460204558,0.1697259
🇨🇼 Curaçao,🇪🇨 Ecuador,0.0666321795253168,0.0653007,0.1445471116059566,0.1454936,0.7888207088687265,0.7892057
🇯🇵 Japan,🇹🇳 Tunisia,0.547592514500157,0.5518706,0.2680855288450091,0.2535811,0.1843219566548339,0.1945483
🇸🇦 Saudi Arabia,🇪🇸 Spain,0.0412920729416693,0.0377334,0.1012608069228118,0.1045881,0.8574471201355188,0.8576785
🇧🇪 Belgium,🇮🇷 Iran,0.6748726261270035,0.6753725,0.2066104937635835,0.2016803,0.1185168801094129,0.1229472
🇨🇻 Cape Verde,🇺🇾 Uruguay,0.1292666764571279,0.133838,0.2154301601498488,0.2101689,0.6553031633930232,0.6559931
🇪🇬 Egypt,🇳🇿 New Zealand,0.5423779801635549,0.5448278,0.2633712243976411,0.2530975,0.1942507954388041,0.2020747
🇦🇷 Argentina,🇦🇹 Austria,0.5698214972302156,0.5747774,0.2516067308809668,0.2354563,0.1785717718888176,0.1897663
🇫🇷 France,🇮🇶 Iraq,0.8468568001858987,0.8469722,0.1109086921776112,0.110233,0.04223450763649,0.0427948
🇳🇴 Norway,🇸🇳 Senegal,0.4397635268894304,0.4474483,0.2770315907010868,0.2585439,0.2832048824094827,0.2940078
🇩🇿 Algeria,🇯🇴 Jordan,0.6205025695025113,0.6228116,0.2298019426812853,0.2204403,0.1496954878162034,0.1567481
🇵🇹 Portugal,🇺🇿 Uzbekistan,0.7568934681552908,0.7568076,0.1586408438122106,0.1545969,0.0844656880324985,0.0885955
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,🇬🇭 Ghana,0.7153473622388455,0.7157038,0.1830396507665165,0.17856,0.1016129869946379,0.1057362
🇭🇷 Croatia,🇵🇦 Panama,0.6098332408675925,0.6137762,0.2440658953769733,0.2263671,0.146100863755434,0.1598567
🇨🇴 Colombia,🇨🇩 DR Congo,0.6370024278700289,0.6385502,0.2328636279786039,0.2238864,0.1301339441513672,0.1375634
🇧🇦 Bosnia & Herzegovina,🇶🇦 Qatar,0.5832003134904657,0.5869487,0.2515577024462093,0.2375121,0.1652419840633249,0.1755392
🇨🇦 Canada,🇨🇭 Switzerland,0.2694819851776242,0.2822217,0.2878617817540151,0.265782,0.4426562330683606,0.4519963
🇧🇷 Brazil,🏴󠁧󠁢󠁳󠁣󠁴󠁿 Scotland,0.6516188657548848,0.6535614,0.2127097203726508,0.2064946,0.1356714138724644,0.139944
🇭🇹 Haiti,🇲🇦 Morocco,0.0983855363851976,0.1053852,0.1877257143709591,0.1801773,0.7138887492438432,0.7144375
🇨🇿 Czechia,🇲🇽 Mexico,0.2092549131907936,0.221653,0.271587827941101,0.2535588,0.5191572588681054,0.5247882
🇿🇦 South Africa,🇰🇷 South Korea,0.2367059346055668,0.2475283,0.2797419177165309,0.2631964,0.4835521476779022,0.4892753
🇪🇨 Ecuador,🇩🇪 Germany,0.1965157966750675,0.2084221,0.2531907106621199,0.2365257,0.5502934926628126,0.5550522
🇨🇼 Curaçao,🇨🇮 Ivory Coast,0.070161646851715,0.0732598,0.156805878003202,0.153578,0.773032475145083,0.7731622
🇯🇵 Japan,🇸🇪 Sweden,0.4552080394205061,0.4600938,0.2789778523385953,0.265626,0.2658141082408985,0.2742802
🇳🇱 Netherlands,🇹🇳 Tunisia,0.627716886306177,0.6303853,0.2254662286887159,0.2154942,0.1468168850051071,0.1541205
🇹🇷 Türkiye,🇺🇸 USA,0.35217282610121,0.3611116,0.2746460201108011,0.2580468,0.3731811537879889,0.3808416
🇦🇺 Australia,🇵🇾 Paraguay,0.2724041943900792,0.2834514,0.2931215402958159,0.2748752,0.4344742653141049,0.4416734
🇫🇷 France,🇳🇴 Norway,0.5160737630529345,0.5222663,0.2637226392878519,0.247108,0.2202035976592135,0.2306257
🇮🇶 Iraq,🇸🇳 Senegal,0.1230572253684558,0.1297583,0.2161223163315723,0.2075257,0.6608204582999718,0.662716
🇨🇻 Cape Verde,🇸🇦 Saudi Arabia,0.367625349981924,0.3748545,0.2879071129661744,0.2734575,0.3444675370519016,0.351688
🇪🇸 Spain,🇺🇾 Uruguay,0.5737142027653511,0.5778585,0.2469688158875453,0.2316781,0.1793169813471036,0.1904634
🇪🇬 Egypt,🇮🇷 Iran,0.4227794125347834,0.4297979,0.3089245916289491,0.2905096,0.2682959958362673,0.2796925
🇧🇪 Belgium,🇳🇿 New Zealand,0.7336226379789562,0.7332537,0.1713181759022711,0.1707159,0.0950591861187726,0.0960304
🏴󠁧󠁢󠁥󠁮󠁧󠁿 England,🇵🇦 Panama,0.7378930709620763,0.7384614,0.1684821306600402,0.16484,0.0936247983778834,0.0966986
🇭🇷 Croatia,🇬🇭 Ghana,0.5726949315796522,0.5761594,0.2532909507264737,0.2415321,0.174014117693874,0.1823085
🇨🇩 DR Congo,🇺🇿 Uzbekistan,0.402612153532617,0.4102373,0.2939097965833276,0.2763157,0.3034780498840553,0.313447
🇨🇴 Colombia,🇵🇹 Portugal,0.2697041816554018,0.2820502,0.2862091968175791,0.2648623,0.444086621527019,0.4530875
🇩🇿 Algeria,🇦🇹 Austria,0.269855788098342,0.2846886,0.2938037627441291,0.2697752,0.4363404491575287,0.4455362
🇦🇷 Argentina,🇯🇴 Jordan,0.7916019089317669,0.7916512,0.1413533866055286,0.1393541,0.0670447044627044,0.0689947
