team,win_prob,best_decimal_odds,worst_decimal_odds,bookmaker_count
France,0.17741316734031864,5.0,4.9,2
Spain,0.13250692246297802,7.4,6.0,2
England,0.12370138070726484,7.2,7.0,2
Argentina,0.09268892188206324,10.0,9.0,2
Portugal,0.07243631853622166,13.5,11.0,2
Brazil,0.06491371863557059,15.5,12.0,2
Germany,0.05587944572794242,16.5,15.0,2
Netherlands,0.037793921299511035,26.0,21.0,2
Morocco,0.02733566207955585,36.0,29.0,2
USA,0.02733566207955585,36.0,29.0,2
Norway,0.025593389111847897,42.0,29.0,2
Belgium,0.019489660339257968,50.0,41.0,2
Colombia,0.0174632628568161,65.0,41.0,2
Mexico,0.016562641753508606,75.0,41.0,2
Japan,0.015363536468186714,65.0,51.0,2
Switzerland,0.009079178020611455,120.0,81.0,2
Uruguay,0.007859586943215887,180.0,81.0,2
Croatia,0.007731208935068986,190.0,81.0,2
Sweden,0.0066578614522126,190.0,101.0,2
Senegal,0.0064115645211652765,150.0,126.0,2
Austria,0.006255982470187516,230.0,101.0,2
Canada,0.006035721874269921,260.0,101.0,2
Ecuador,0.005480240425699568,220.0,126.0,2
Australia,0.005346816511495805,180.0,151.0,2
Ivory Coast,0.004816559521323819,230.0,151.0,2
Egypt,0.002846846263928541,400.0,251.0,2
South Korea,0.002794578074897302,420.0,251.0,2
Scotland,0.002519482343153941,570.0,251.0,2
Paraguay,0.002128968219207444,500.0,351.0,2
Ghana,0.0017996786283106406,800.0,351.0,2
Algeria,0.0016899154313450395,1000.0,351.0,2
Czechia,0.0013154056578472445,1000.0,501.0,2
Bosnia & Herzegovina,0.0013154056578472445,1000.0,501.0,2
Tunisia,0.0013154056578472445,1000.0,501.0,2
Iran,0.0013154056578472445,1000.0,501.0,2
Saudi Arabia,0.0010236770060546882,1000.0,751.0,2
DR Congo,0.0010236770060546882,1000.0,751.0,2
Cape Verde,0.0008776669615511209,1001.0,1000.0,2
South Africa,0.0008776669615511209,1001.0,1000.0,2
New Zealand,0.0008776669615511209,1001.0,1000.0,2
Panama,0.0007315596418680043,1501.0,1000.0,2
Uzbekistan,0.0007315596418680043,1501.0,1000.0,2
Iraq,0.0007315596418680043,1501.0,1000.0,2
Curaçao,0.0006584694734508129,2001.0,1000.0,2
Jordan,0.0006584694734508129,2001.0,1000.0,2
Qatar,0.0006146036826494519,2501.0,1000.0,2
Türkiye,0.0,,,0
Haiti,0.0,,,0
