team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.5892573833331416,0.4847076,2.0244955,12.6286725,-10.604177
Iraq,0.13936294999993584,0.6968825,2.1582991,9.1490246,-6.990725500000001
Tunisia,0.09325656333335935,1.1638908,2.462868,9.0379571,-6.5750891
Haiti,0.06353319500001768,0.6784458,1.2769095,6.3820724,-5.1051629
Jordan,0.040409619999990556,1.0713466,2.4544593,7.3763696,-4.9219103
Panama,0.021805460000002202,1.1213943,1.4842837,5.2057345,-3.7214508000000004
Uzbekistan,0.021566876666669888,1.4665991,2.6228258,6.8632647,-4.2404389
South Africa,0.015907661666668516,1.6423269,1.726168,5.3510696,-3.6249016
Paraguay,0.006019620000000312,2.633627,3.3255507,6.4685477,-3.1429970000000003
Algeria,0.0031366166666666165,3.3148557,2.9406592,5.0860471,-2.1453879000000002
Türkiye,0.002399478333333283,2.987666,2.7570892,4.4144996,-1.6574104000000003
Czechia,0.0012162500000000185,2.745251,3.4677215,4.4694892,-1.0017676999999998
Senegal,0.0011117916666666795,3.5450931,4.3142571,5.0714963,-0.7572391999999999
Ecuador,0.0006442416666666634,3.5271006,3.8007577,3.2003009,0.6004568000000003
Croatia,0.000250908333333334,4.0833316,5.5345568,5.5976727,-0.06311590000000056
Qatar,3.383333333333332e-05,2.1697184,2.4283065,5.0016324,-2.5733259
New Zealand,3.167499999999999e-05,2.1455017,3.3947809,6.0401521,-2.6453712
Saudi Arabia,2.506666666666667e-05,2.6523864,2.774986,5.0499916,-2.2750056
Iran,1.0008333333333332e-05,2.6421015,3.6098986,5.2631495,-1.6532508999999997
Cape Verde,8.816666666666666e-06,2.9025485,1.8368174,3.0705819,-1.2337645000000002
DR Congo,6.766666666666667e-06,3.2465919,3.0475531,3.7982435,-0.7506903999999999
Bosnia & Herzegovina,2.2e-06,3.7257706,3.508276,3.5981041,-0.08982810000000008
Uruguay,1.3333333333333334e-06,3.8904487,3.6206314,3.5004726,0.12015880000000001
Switzerland,6e-07,4.7144347,4.2294771,2.8242608,1.4052163000000006
Morocco,3.5e-07,5.3010709,4.8539609,2.4815164,2.3724445
Canada,2.5e-07,4.4967479,4.3176172,3.0596795,1.2579376999999998
Belgium,1e-07,5.6565669,5.3243373,2.33651,2.9878272999999997
Egypt,1e-07,4.6707784,3.9789643,2.6681695,1.3107948
Japan,1e-07,4.7279307,5.2225685,3.8072514,1.4153171000000002
Netherlands,1e-07,5.242484,6.0117071,3.7024834,2.3092236999999995
Portugal,5e-08,5.145191,4.9180684,2.6424137,2.2756547
Brazil,3.3333333333333334e-08,5.8720676,6.1013797,2.3592011,3.7421786
Colombia,0.0,6.2360014,5.8178314,3.1023568,2.7154746000000003
Spain,0.0,5.7376715,4.7136468,1.3250355,3.3886113
Ghana,0.0,4.1545304,2.4101482,4.0645031,-1.6543548999999995
USA,0.0,6.4525655,7.2070438,3.1748709,4.0321729
Ivory Coast,0.0,6.3367136,4.7382895,2.5957265,2.1425629999999996
Australia,0.0,4.8995612,3.8863294,3.1180949,0.7682345000000002
Argentina,0.0,7.5563751,7.3659371,1.4560631,5.909874
Sweden,0.0,4.966173,7.0468668,4.1963185,2.8505483
Austria,0.0,5.1891092,5.0876509,3.9302267,1.1574242
South Korea,0.0,6.0741172,4.7268127,3.2068245,1.5199881999999998
Norway,0.0,5.4448484,6.4430867,3.8988654,2.5442213000000002
Scotland,0.0,4.4267383,2.563808,3.5732682,-1.0094602
Mexico,0.0,6.5278992,4.9501457,1.8434646,3.1066811000000003
England,0.0,7.863622,8.7356808,3.2967592,5.4389216000000005
Germany,0.0,6.9884126,10.7715319,2.9103747,7.861157199999999
France,0.0,7.5323857,7.7336329,2.5298895,5.2037434000000005
