qualifying_groups_key,appearances,probability
ABCEFIJL,729510,0.072951
BCEFHIKL,691291,0.0691291
BCEFHJKL,649848,0.0649848
ABCEFHIL,601290,0.060129
BCEFGHKL,509787,0.0509787
ABCEFIKL,504239,0.0504239
BCEFIJKL,493267,0.0493267
ABCEFHJL,446630,0.044663
BCEFHIJL,403703,0.0403703
BCEFGIKL,390948,0.0390948
ABCEFHKL,379541,0.0379541
ABCEFJKL,375122,0.0375122
BCEFGJKL,352407,0.0352407
BCEFGHIL,334070,0.033407
ABCEFGIL,281163,0.0281163
BCEFGHJL,266469,0.0266469
ABCDEFJL,241330,0.024133
BCEFGIJL,215068,0.0215068
ABCEFGHL,212092,0.0212092
ABCEFGJL,208870,0.020887
ABCEFGKL,177609,0.0177609
ABCDEFIL,148420,0.014842
ABCEFHIK,135162,0.0135162
ABCEFHIJ,132867,0.0132867
ABCEFIJK,110665,0.0110665
BCEFHIJK,110448,0.0110448
BCEFGHIK,92387,0.0092387
ABCEFHJK,87180,0.008718
BCEFGHJK,77379,0.0077379
ABCEFGHI,76089,0.0076089
ABCEFGIK,63289,0.0063289
ABCEFGIJ,61874,0.0061874
BCEFGIJK,59287,0.0059287
ABCDEFHL,57929,0.0057929
BCEFGHIJ,56783,0.0056783
ABCEFGHK,52854,0.0052854
ABCDEFKL,51669,0.0051669
ABCEFGHJ,48989,0.0048989
ABCEFGJK,40395,0.0040395
ABCDEFGL,27083,0.0027083
BEFGHJKL,19417,0.0019417
ABCDEFIJ,9425,0.0009425
ABCDEFHJ,3629,0.0003629
ABCDEFJK,3244,0.0003244
ABCDEFHI,2500,0.00025
ABCDEFIK,2206,0.0002206
ABCDEFGJ,1733,0.0001733
ABCDEFGI,1159,0.0001159
ABCDEFHK,842,8.42e-05
ABCDEFGH,436,4.36e-05
ABCDEFGK,406,4.06e-05
