match_id,round,slot,source,team,appearances,probability
81,R32,away,3A|3E|3H|3I|3J,South Korea,5277441,0.5277441
81,R32,away,3A|3E|3H|3I|3J,Egypt,1271021,0.1271021
81,R32,away,3A|3E|3H|3I|3J,Iran,1179077,0.1179077
81,R32,away,3A|3E|3H|3I|3J,Senegal,884120,0.088412
81,R32,away,3A|3E|3H|3I|3J,Algeria,759001,0.0759001
81,R32,away,3A|3E|3H|3I|3J,Austria,268392,0.0268392
81,R32,away,3A|3E|3H|3I|3J,Belgium,252650,0.025265
81,R32,away,3A|3E|3H|3I|3J,New Zealand,108203,0.0108203
81,R32,away,3A|3E|3H|3I|3J,Iraq,95,9.5e-06
81,R32,home,1G,Spain,8351568,0.8351568
81,R32,home,1G,Uruguay,1366791,0.1366791
81,R32,home,1G,Cape Verde,281641,0.0281641
82,R32,away,3B|3E|3F|3I|3J,Bosnia & Herzegovina,10000000,1.0
82,R32,home,1D,Brazil,10000000,1.0
83,R32,away,2J,Austria,7011497,0.7011497
83,R32,away,2J,Algeria,2988503,0.2988503
83,R32,home,1H,Egypt,5824395,0.5824395
83,R32,home,1H,Belgium,2944788,0.2944788
83,R32,home,1H,Iran,1230817,0.1230817
84,R32,away,2L,Croatia,4510182,0.4510182
84,R32,away,2L,Ghana,3973435,0.3973435
84,R32,away,2L,England,1516383,0.1516383
84,R32,home,2K,Colombia,5098389,0.5098389
84,R32,home,2K,Portugal,4860997,0.4860997
84,R32,home,2K,DR Congo,40614,0.0040614
85,R32,away,3E|3F|3G|3I|3J,Algeria,2606290,0.260629
85,R32,away,3E|3F|3G|3I|3J,Uruguay,1641843,0.1641843
85,R32,away,3E|3F|3G|3I|3J,Ecuador,1321630,0.132163
85,R32,away,3E|3F|3G|3I|3J,Austria,1209995,0.1209995
85,R32,away,3E|3F|3G|3I|3J,Senegal,1193273,0.1193273
85,R32,away,3E|3F|3G|3I|3J,Cape Verde,827942,0.0827942
85,R32,away,3E|3F|3G|3I|3J,Spain,578424,0.0578424
85,R32,away,3E|3F|3G|3I|3J,Saudi Arabia,560417,0.0560417
85,R32,away,3E|3F|3G|3I|3J,Sweden,57929,0.0057929
85,R32,away,3E|3F|3G|3I|3J,Iraq,2257,0.0002257
85,R32,home,1B,Switzerland,10000000,1.0
86,R32,away,2G,Cape Verde,5191129,0.5191129
86,R32,away,2G,Saudi Arabia,2985461,0.2985461
86,R32,away,2G,Spain,1056137,0.1056137
86,R32,away,2G,Uruguay,767273,0.0767273
86,R32,home,2D,Morocco,10000000,1.0
87,R32,away,2H,Belgium,5762626,0.5762626
87,R32,away,2H,Iran,1896810,0.189681
87,R32,away,2H,Egypt,1848545,0.1848545
87,R32,away,2H,New Zealand,492019,0.0492019
87,R32,home,1J,Argentina,10000000,1.0
88,R32,away,3D|3E|3I|3J|3L,Ghana,5496433,0.5496433
88,R32,away,3D|3E|3I|3J|3L,Croatia,3265441,0.3265441
88,R32,away,3D|3E|3I|3J|3L,Senegal,634594,0.0634594
88,R32,away,3D|3E|3I|3J|3L,Ecuador,548108,0.0548108
88,R32,away,3D|3E|3I|3J|3L,Algeria,23841,0.0023841
88,R32,away,3D|3E|3I|3J|3L,Austria,16554,0.0016554
88,R32,away,3D|3E|3I|3J|3L,Scotland,7407,0.0007407
88,R32,away,3D|3E|3I|3J|3L,England,6898,0.0006898
88,R32,away,3D|3E|3I|3J|3L,Iraq,724,7.24e-05
88,R32,home,1K,Portugal,5098389,0.5098389
88,R32,home,1K,Colombia,4901611,0.4901611
