match_id,commence_time,team,opponent,p_win,p_draw,p_loss,team_xg,opponent_xg,expected_total_goals,p_over_25,p_under_25,totals_bookmaker_count,fit_model_p_win,fit_model_p_draw,fit_model_p_loss,fit_model_p_over_25,fit_loss,bookmaker_count
d79edbd6aaeb578d33e313446b18d333,2026-06-14T17:00:00Z,Curaçao,Germany,0.0210271050569032,0.048782701071086836,0.93019019387201,0.4791232946156865,3.78281138702991,4.261934681645597,0.795847750865052,0.204152249134948,1,0.018323684852139224,0.053840398316960976,0.9278359168308997,0.7978215303204699,0.8024178274530528,20
d79edbd6aaeb578d33e313446b18d333,2026-06-14T17:00:00Z,Germany,Curaçao,0.93019019387201,0.048782701071086836,0.0210271050569032,3.78281138702991,0.4791232946156865,4.261934681645597,0.795847750865052,0.204152249134948,1,0.9278359168308997,0.053840398316960976,0.018323684852139224,0.7978215303204699,0.8024178274530528,20
32ec06abda2398ac41501c86eb9aa376,2026-06-14T20:00:00Z,Japan,Netherlands,0.26011656316986226,0.2784541140077138,0.46142932282242394,1.0667576609869784,1.4973458111373188,2.5641034721242972,0.4786948585981854,0.5213051414018146,5,0.26995435658824146,0.25871193097177253,0.47133371243998595,0.4725219427031714,1.756501897921609,20
32ec06abda2398ac41501c86eb9aa376,2026-06-14T20:00:00Z,Netherlands,Japan,0.46142932282242394,0.2784541140077138,0.26011656316986226,1.4973458111373188,1.0667576609869784,2.5641034721242972,0.4786948585981854,0.5213051414018146,5,0.47133371243998595,0.25871193097177253,0.26995435658824146,0.4725219427031714,1.756501897921609,20
05752bb341e197001387b64f3a06b9b2,2026-06-14T23:00:00Z,Ecuador,Ivory Coast,0.3750972081993618,0.33512237685380714,0.2897804149468311,1.0960381068524703,0.9311831175330902,2.0272212243855607,0.3414634146341463,0.6585365853658537,1,0.39059670021400766,0.3045609492739529,0.30484235051203956,0.33069111616753877,1.7375527357408185,20
05752bb341e197001387b64f3a06b9b2,2026-06-14T23:00:00Z,Ivory Coast,Ecuador,0.2897804149468311,0.33512237685380714,0.3750972081993618,0.9311831175330902,1.0960381068524703,2.0272212243855607,0.3414634146341463,0.6585365853658537,1,0.30484235051203956,0.3045609492739529,0.39059670021400766,0.33069111616753877,1.7375527357408185,20
b55f9569de3f4d731bc5537ff5ff43e4,2026-06-15T02:00:00Z,Sweden,Tunisia,0.4935550889883184,0.2812315570857438,0.22521335392593772,1.48108135412885,0.9194052676877329,2.400486621816583,0.43644038294168835,0.5635596170583117,4,0.5027698514193587,0.2631105428662901,0.23411960571435117,0.4304183867506389,1.7269867441594158,20
b55f9569de3f4d731bc5537ff5ff43e4,2026-06-15T02:00:00Z,Tunisia,Sweden,0.22521335392593772,0.2812315570857438,0.4935550889883184,0.9194052676877329,1.48108135412885,2.400486621816583,0.43644038294168835,0.5635596170583117,4,0.23411960571435117,0.2631105428662901,0.5027698514193587,0.4304183867506389,1.7269867441594158,20
c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Cape Verde,Spain,0.0395061357136216,0.08930374626036744,0.871190118026011,0.5193873503652076,3.0483782836171054,3.567765633982313,0.6896551724137931,0.31034482758620685,1,0.037110812181781354,0.0940233415259639,0.8688658462922548,0.691504888015376,1.083104654146907,20
c54f00b11925751d2b62988775c6c239,2026-06-15T16:00:00Z,Spain,Cape Verde,0.871190118026011,0.08930374626036744,0.0395061357136216,3.0483782836171054,0.5193873503652076,3.567765633982313,0.6896551724137931,0.31034482758620685,1,0.8688658462922548,0.0940233415259639,0.037110812181781354,0.691504888015376,1.083104654146907,20
