team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.2902592916666899,0.8193379,1.6354718,8.6619018,-7.026430000000001
Iraq,0.1544428599999866,1.1408396,1.781976,7.3367767,-5.5548006999999995
Haiti,0.12406987500000191,0.7067515,1.2665756,6.2568516,-4.990276
Jordan,0.09163623000000863,1.5051401,2.1443055,6.6957148,-4.5514092999999995
Cape Verde,0.04597075666666416,2.2113989,2.5149881,6.2244994,-3.7095113
Saudi Arabia,0.04538249333333061,2.1298728,2.3415802,5.9569536,-3.6153734
South Africa,0.039585454999997445,1.6235113,1.7179101,5.3712784,-3.6533682999999995
Uzbekistan,0.03735514833333215,2.1621759,2.3920315,5.6533188,-3.2612873000000002
Panama,0.031766304999999904,2.2617855,2.4745359,5.4681338,-2.9935979000000006
New Zealand,0.031040070000000204,2.2068463,2.3477707,5.3152734,-2.9675027
Tunisia,0.022065890000000837,2.4381013,2.5172462,4.9895765,-2.4723303
DR Congo,0.021513100000000708,2.5627996,2.5863289,5.1445001,-2.5581712000000003
Paraguay,0.014694178333333197,2.6471122,3.3086974,6.4254932,-3.1167958000000002
Ghana,0.014399893333333151,2.8768767,2.8585852,4.8923863,-2.0338011000000003
Türkiye,0.006056685000000123,3.0122425,2.7417057,4.3637003,-1.6219945999999998
Iran,0.005047730000000047,3.526151,3.0958286,4.0416078,-0.9457792000000005
Sweden,0.004787798333333365,3.6478945,3.4027212,4.1130874,-0.7103662000000006
Algeria,0.004207608333333342,3.7702724,3.5615488,4.1406734,-0.5791245999999997
Senegal,0.0035204433333333143,3.9690473,3.8448335,4.1172047,-0.27237120000000026
Czechia,0.003103663333333302,2.7727916,3.5009034,4.4627571,-0.9618537000000003
Egypt,0.001882158333333337,4.2353961,3.6192575,3.5042162,0.11504129999999968
Ivory Coast,0.0015737250000000058,4.4162752,4.1609202,3.5611725,0.5997476999999996
Japan,0.0011087400000000017,4.6603569,4.0934891,3.3271615,0.7663276000000003
Austria,0.001106733333333336,4.7083506,4.4966576,3.5466768,0.9499807999999996
Ecuador,0.0007659499999999982,4.8477908,4.4497769,3.1824264,1.2673504999999996
Croatia,0.0007626649999999979,4.886633,4.3197939,3.2186038,1.1011900999999997
Norway,0.0005910416666666663,5.0688095,5.0051432,3.3502187,1.6549245
Uruguay,0.0004799333333333336,5.1904531,4.7467302,3.1821647,1.5645655
Colombia,0.00024069999999999986,5.5333893,4.8287006,2.7280814,2.1006192
Netherlands,0.00022165833333333322,5.7692739,5.1729634,2.7565945,2.4163689000000006
Qatar,0.00012124999999999998,2.1092682,2.3429552,4.9980776,-2.6551224
Portugal,5.093333333333333e-05,6.4501105,6.094386,2.3755467,3.7188393
England,4.011666666666666e-05,6.643163,6.179799,2.2535901,3.9262089000000002
Belgium,3.9691666666666665e-05,6.6182853,5.9992512,2.2010106,3.7982405999999997
France,3.419999999999999e-05,6.6571706,6.3903647,2.2181173,4.1722474
Argentina,3.36e-05,6.7837715,6.2989011,2.118348,4.1805531
Germany,2.31e-05,6.8028084,7.5141263,2.3547945,5.1593318
Bosnia & Herzegovina,9.125e-06,3.800643,3.5446094,3.4842817,0.060327700000000206
Spain,5.183333333333333e-06,7.347371,7.6520328,1.8917136,5.7603192
Canada,2.15e-06,4.5151099,4.2551008,2.9928092,1.2622916000000002
Switzerland,1.02e-06,4.6771972,4.1341357,2.8016326,1.3325030999999998
Morocco,8e-07,5.237343,4.7711701,2.5153514,2.2558187
Brazil,5e-08,5.8692093,6.0517922,2.3457608,3.7060314000000005
Scotland,0.0,4.4542722,2.5945366,3.5661107,-0.9715740999999998
Mexico,0.0,6.5805122,4.9824802,1.8044016,3.1780786
South Korea,0.0,6.0179272,4.6747766,3.2376332,1.4371434000000005
Australia,0.0,4.8733886,3.8607849,3.1340217,0.7267632000000002
USA,0.0,6.4379888,7.1890246,3.1769974,4.0120272
