qualifying_groups_key,option_number,match_75,match_78,match_79,match_80,match_81,match_82,match_85,match_88
BCEGHJKL,91,3C,3G,3E,3K,3H,3B,3J,3L
BCEGHIKL,92,3C,3H,3E,3K,3I,3B,3G,3L
BCEGHIJL,93,3C,3G,3E,3I,3H,3B,3J,3L
BCEGHIJK,94,3C,3G,3E,3K,3H,3B,3J,3I
BCEFIJKL,95,3C,3F,3E,3K,3I,3B,3J,3L
BCEFHJKL,96,3C,3F,3E,3K,3H,3B,3J,3L
BCEFHIKL,97,3C,3F,3E,3K,3H,3B,3I,3L
BCEFHIJL,98,3C,3F,3E,3I,3H,3B,3J,3L
BCEFHIJK,99,3C,3F,3E,3K,3H,3B,3J,3I
BCEFGJKL,100,3C,3F,3E,3K,3J,3B,3G,3L
BCEFGIKL,101,3C,3F,3E,3K,3I,3B,3G,3L
BCEFGIJL,102,3C,3F,3E,3I,3J,3B,3G,3L
BCEFGIJK,103,3C,3F,3E,3K,3J,3B,3G,3I
BCEFGHKL,104,3C,3F,3E,3K,3H,3B,3G,3L
BCEFGHJL,105,3C,3F,3H,3E,3J,3B,3G,3L
BCEFGHJK,106,3C,3F,3H,3K,3J,3B,3G,3E
BCEFGHIL,107,3C,3F,3E,3I,3H,3B,3G,3L
BCEFGHIK,108,3C,3F,3E,3K,3H,3B,3G,3I
BCEFGHIJ,109,3C,3F,3H,3I,3J,3B,3G,3E
BCDHIJKL,110,3C,3D,3H,3K,3I,3B,3J,3L
BCDGIJKL,111,3C,3D,3I,3K,3J,3B,3G,3L
BCDGHJKL,112,3C,3D,3H,3K,3J,3B,3G,3L
BCDGHIKL,113,3C,3D,3H,3K,3I,3B,3G,3L
BCDGHIJL,114,3C,3D,3H,3I,3J,3B,3G,3L
BCDGHIJK,115,3C,3D,3H,3K,3J,3B,3G,3I
BCDFIJKL,116,3D,3F,3C,3K,3I,3B,3J,3L
BCDFHJKL,117,3D,3F,3C,3K,3H,3B,3J,3L
BCDFHIKL,118,3D,3F,3C,3K,3H,3B,3I,3L
BCDFHIJL,119,3D,3F,3C,3I,3H,3B,3J,3L
BCDFHIJK,120,3D,3F,3C,3K,3H,3B,3J,3I
BCDFGJKL,121,3D,3F,3C,3K,3J,3B,3G,3L
BCDFGIKL,122,3D,3F,3C,3K,3I,3B,3G,3L
BCDFGIJL,123,3D,3F,3C,3I,3J,3B,3G,3L
BCDFGIJK,124,3D,3F,3C,3K,3J,3B,3G,3I
BCDFGHKL,125,3D,3F,3C,3K,3H,3B,3G,3L
BCDFGHJL,126,3D,3F,3C,3J,3H,3B,3G,3L
BCDFGHJK,127,3C,3F,3H,3K,3J,3B,3G,3D
BCDFGHIL,128,3D,3F,3C,3I,3H,3B,3G,3L
BCDFGHIK,129,3D,3F,3C,3K,3H,3B,3G,3I
BCDFGHIJ,130,3C,3F,3H,3I,3J,3B,3G,3D
BCDEIJKL,131,3C,3D,3E,3K,3I,3B,3J,3L
BCDEHJKL,132,3C,3D,3E,3K,3H,3B,3J,3L
BCDEHIKL,133,3C,3D,3E,3K,3H,3B,3I,3L
BCDEHIJL,134,3C,3D,3E,3I,3H,3B,3J,3L
BCDEHIJK,135,3C,3D,3E,3K,3H,3B,3J,3I
BCDEGJKL,136,3C,3D,3E,3K,3J,3B,3G,3L
BCDEGIKL,137,3C,3D,3E,3K,3I,3B,3G,3L
BCDEGIJL,138,3C,3D,3E,3I,3J,3B,3G,3L
BCDEGIJK,139,3C,3D,3E,3K,3J,3B,3G,3I
BCDEGHKL,140,3C,3D,3E,3K,3H,3B,3G,3L
BCDEGHJL,141,3C,3D,3H,3E,3J,3B,3G,3L
BCDEGHJK,142,3C,3D,3H,3K,3J,3B,3G,3E
BCDEGHIL,143,3C,3D,3E,3I,3H,3B,3G,3L
BCDEGHIK,144,3C,3D,3E,3K,3H,3B,3G,3I
BCDEGHIJ,145,3C,3D,3H,3I,3J,3B,3G,3E
BCDEFJKL,146,3D,3F,3C,3K,3E,3B,3J,3L
BCDEFIKL,147,3D,3F,3C,3K,3I,3B,3E,3L
BCDEFIJL,148,3D,3F,3C,3I,3E,3B,3J,3L
BCDEFIJK,149,3D,3F,3C,3K,3E,3B,3J,3I
BCDEFHKL,150,3D,3F,3C,3K,3H,3B,3E,3L
BCDEFHJL,151,3D,3F,3C,3E,3H,3B,3J,3L
BCDEFHJK,152,3D,3F,3C,3K,3H,3B,3J,3E
BCDEFHIL,153,3D,3F,3C,3I,3H,3B,3E,3L
BCDEFHIK,154,3D,3F,3C,3K,3H,3B,3E,3I
BCDEFHIJ,155,3D,3F,3C,3I,3H,3B,3J,3E
BCDEFGKL,156,3D,3F,3C,3K,3E,3B,3G,3L
BCDEFGJL,157,3D,3F,3C,3E,3J,3B,3G,3L
BCDEFGJK,158,3D,3F,3C,3K,3J,3B,3G,3E
BCDEFGIL,159,3D,3F,3C,3I,3E,3B,3G,3L
BCDEFGIK,160,3D,3F,3C,3K,3E,3B,3G,3I
BCDEFGIJ,161,3D,3F,3C,3I,3J,3B,3G,3E
BCDEFGHL,162,3D,3F,3C,3E,3H,3B,3G,3L
BCDEFGHK,163,3D,3F,3C,3K,3H,3B,3G,3E
BCDEFGHJ,164,3C,3F,3H,3E,3J,3B,3G,3D
BCDEFGHI,165,3D,3F,3C,3I,3H,3B,3G,3E
AFGHIJKL,166,3F,3G,3H,3K,3A,3I,3J,3L
AEGHIJKL,167,3A,3G,3E,3K,3H,3I,3J,3L
AEFHIJKL,168,3F,3H,3E,3K,3A,3I,3J,3L
AEFGIJKL,169,3F,3G,3E,3K,3A,3I,3J,3L
AEFGHJKL,170,3F,3H,3E,3K,3A,3J,3G,3L
AEFGHIKL,171,3F,3H,3E,3K,3A,3I,3G,3L
AEFGHIJL,172,3F,3H,3E,3I,3A,3J,3G,3L
AEFGHIJK,173,3F,3H,3E,3K,3A,3J,3G,3I
ADGHIJKL,174,3D,3G,3H,3K,3A,3I,3J,3L
ADFHIJKL,175,3D,3F,3H,3K,3A,3I,3J,3L
ADFGIJKL,176,3D,3F,3I,3K,3A,3J,3G,3L
ADFGHJKL,177,3D,3F,3H,3K,3A,3J,3G,3L
ADFGHIKL,178,3D,3F,3H,3K,3A,3I,3G,3L
ADFGHIJL,179,3D,3F,3H,3I,3A,3J,3G,3L
ADFGHIJK,180,3D,3F,3H,3K,3A,3J,3G,3I
ADEHIJKL,181,3D,3H,3E,3K,3A,3I,3J,3L
ADEGIJKL,182,3D,3G,3E,3K,3A,3I,3J,3L
ADEGHJKL,183,3D,3H,3E,3K,3A,3J,3G,3L
ADEGHIKL,184,3D,3H,3E,3K,3A,3I,3G,3L
ADEGHIJL,185,3D,3H,3E,3I,3A,3J,3G,3L
ADEGHIJK,186,3D,3H,3E,3K,3A,3J,3G,3I
ADEFIJKL,187,3D,3F,3E,3K,3A,3I,3J,3L
ADEFHJKL,188,3D,3F,3H,3K,3A,3E,3J,3L
ADEFHIKL,189,3D,3F,3H,3K,3A,3I,3E,3L
ADEFHIJL,190,3D,3F,3H,3I,3A,3E,3J,3L
ADEFHIJK,191,3D,3F,3H,3K,3A,3E,3J,3I
ADEFGJKL,192,3D,3F,3E,3K,3A,3J,3G,3L
ADEFGIKL,193,3D,3F,3E,3K,3A,3I,3G,3L
ADEFGIJL,194,3D,3F,3E,3I,3A,3J,3G,3L
ADEFGIJK,195,3D,3F,3E,3K,3A,3J,3G,3I
ADEFGHKL,196,3D,3F,3H,3K,3A,3E,3G,3L
ADEFGHJL,197,3D,3F,3H,3E,3A,3J,3G,3L
ADEFGHJK,198,3D,3F,3H,3K,3A,3J,3G,3E
ADEFGHIL,199,3D,3F,3H,3I,3A,3E,3G,3L
ADEFGHIK,200,3D,3F,3H,3K,3A,3E,3G,3I
ADEFGHIJ,201,3D,3F,3H,3I,3A,3J,3G,3E
ACGHIJKL,202,3C,3G,3H,3K,3A,3I,3J,3L
ACFHIJKL,203,3C,3F,3H,3K,3A,3I,3J,3L
ACFGIJKL,204,3C,3F,3I,3K,3A,3J,3G,3L
ACFGHJKL,205,3C,3F,3H,3K,3A,3J,3G,3L
ACFGHIKL,206,3C,3F,3H,3K,3A,3I,3G,3L
ACFGHIJL,207,3C,3F,3H,3I,3A,3J,3G,3L
ACFGHIJK,208,3C,3F,3H,3K,3A,3J,3G,3I
ACEHIJKL,209,3C,3H,3E,3K,3A,3I,3J,3L
ACEGIJKL,210,3C,3G,3E,3K,3A,3I,3J,3L
ACEGHJKL,211,3C,3H,3E,3K,3A,3J,3G,3L
ACEGHIKL,212,3C,3H,3E,3K,3A,3I,3G,3L
ACEGHIJL,213,3C,3H,3E,3I,3A,3J,3G,3L
ACEGHIJK,214,3C,3H,3E,3K,3A,3J,3G,3I
ACEFIJKL,215,3C,3F,3E,3K,3A,3I,3J,3L
ACEFHJKL,216,3C,3F,3H,3K,3A,3E,3J,3L
ACEFHIKL,217,3C,3F,3H,3K,3A,3I,3E,3L
ACEFHIJL,218,3C,3F,3H,3I,3A,3E,3J,3L
ACEFHIJK,219,3C,3F,3H,3K,3A,3E,3J,3I
ACEFGJKL,220,3C,3F,3E,3K,3A,3J,3G,3L
ACEFGIKL,221,3C,3F,3E,3K,3A,3I,3G,3L
ACEFGIJL,222,3C,3F,3E,3I,3A,3J,3G,3L
ACEFGIJK,223,3C,3F,3E,3K,3A,3J,3G,3I
ACEFGHKL,224,3C,3F,3H,3K,3A,3E,3G,3L
ACEFGHJL,225,3C,3F,3H,3E,3A,3J,3G,3L
ACEFGHJK,226,3C,3F,3H,3K,3A,3J,3G,3E
ACEFGHIL,227,3C,3F,3H,3I,3A,3E,3G,3L
ACEFGHIK,228,3C,3F,3H,3K,3A,3E,3G,3I
ACEFGHIJ,229,3C,3F,3H,3I,3A,3J,3G,3E
ACDHIJKL,230,3C,3D,3H,3K,3A,3I,3J,3L
ACDGIJKL,231,3C,3D,3I,3K,3A,3J,3G,3L
ACDGHJKL,232,3C,3D,3H,3K,3A,3J,3G,3L
ACDGHIKL,233,3C,3D,3H,3K,3A,3I,3G,3L
ACDGHIJL,234,3C,3D,3H,3I,3A,3J,3G,3L
ACDGHIJK,235,3C,3D,3H,3K,3A,3J,3G,3I
ACDFIJKL,236,3D,3F,3C,3K,3A,3I,3J,3L
ACDFHJKL,237,3C,3D,3H,3K,3A,3F,3J,3L
ACDFHIKL,238,3C,3D,3H,3K,3A,3I,3F,3L
ACDFHIJL,239,3C,3D,3H,3I,3A,3F,3J,3L
ACDFHIJK,240,3C,3D,3H,3K,3A,3F,3J,3I
ACDFGJKL,241,3D,3F,3C,3K,3A,3J,3G,3L
ACDFGIKL,242,3D,3F,3C,3K,3A,3I,3G,3L
ACDFGIJL,243,3D,3F,3C,3I,3A,3J,3G,3L
ACDFGIJK,244,3D,3F,3C,3K,3A,3J,3G,3I
ACDFGHKL,245,3C,3D,3H,3K,3A,3F,3G,3L
ACDFGHJL,246,3D,3F,3C,3H,3A,3J,3G,3L
ACDFGHJK,247,3C,3F,3H,3K,3A,3J,3G,3D
ACDFGHIL,248,3C,3D,3H,3I,3A,3F,3G,3L
ACDFGHIK,249,3C,3D,3H,3K,3A,3F,3G,3I
ACDFGHIJ,250,3C,3F,3H,3I,3A,3J,3G,3D
ACDEIJKL,251,3C,3D,3E,3K,3A,3I,3J,3L
ACDEHJKL,252,3C,3D,3H,3K,3A,3E,3J,3L
ACDEHIKL,253,3C,3D,3H,3K,3A,3I,3E,3L
ACDEHIJL,254,3C,3D,3H,3I,3A,3E,3J,3L
ACDEHIJK,255,3C,3D,3H,3K,3A,3E,3J,3I
ACDEGJKL,256,3C,3D,3E,3K,3A,3J,3G,3L
ACDEGIKL,257,3C,3D,3E,3K,3A,3I,3G,3L
ACDEGIJL,258,3C,3D,3E,3I,3A,3J,3G,3L
ACDEGIJK,259,3C,3D,3E,3K,3A,3J,3G,3I
ACDEGHKL,260,3C,3D,3H,3K,3A,3E,3G,3L
ACDEGHJL,261,3C,3D,3H,3E,3A,3J,3G,3L
ACDEGHJK,262,3C,3D,3H,3K,3A,3J,3G,3E
ACDEGHIL,263,3C,3D,3H,3I,3A,3E,3G,3L
ACDEGHIK,264,3C,3D,3H,3K,3A,3E,3G,3I
ACDEGHIJ,265,3C,3D,3H,3I,3A,3J,3G,3E
ACDEFJKL,266,3D,3F,3C,3K,3A,3E,3J,3L
ACDEFIKL,267,3D,3F,3C,3K,3A,3I,3E,3L
ACDEFIJL,268,3D,3F,3C,3I,3A,3E,3J,3L
ACDEFIJK,269,3D,3F,3C,3K,3A,3E,3J,3I
ACDEFHKL,270,3C,3D,3H,3K,3A,3F,3E,3L
ACDEFHJL,271,3C,3D,3H,3E,3A,3F,3J,3L
ACDEFHJK,272,3C,3F,3H,3K,3A,3E,3J,3D
ACDEFHIL,273,3C,3D,3H,3I,3A,3F,3E,3L
ACDEFHIK,274,3C,3D,3H,3K,3A,3F,3E,3I
ACDEFHIJ,275,3C,3F,3H,3I,3A,3E,3J,3D
ACDEFGKL,276,3D,3F,3C,3K,3A,3E,3G,3L
ACDEFGJL,277,3D,3F,3C,3E,3A,3J,3G,3L
ACDEFGJK,278,3D,3F,3C,3K,3A,3J,3G,3E
ACDEFGIL,279,3D,3F,3C,3I,3A,3E,3G,3L
ACDEFGIK,280,3D,3F,3C,3K,3A,3E,3G,3I
ACDEFGIJ,281,3D,3F,3C,3I,3A,3J,3G,3E
