team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.5569961949998505,0.5290836,2.054939,12.4792228,-10.424283800000001
Tunisia,0.09185273666668792,1.1822943,2.4636092,8.9754505,-6.5118413
Iraq,0.0881756800000189,1.1263775,1.7698689,7.3670345,-5.5971656
Haiti,0.06519405833335304,0.6810048,1.2824135,6.377095,-5.0946815
Jordan,0.04839702499999313,1.5054853,2.1434509,6.6959848,-4.5525339
Cape Verde,0.02721081499999842,2.1654912,2.4780079,6.4376561,-3.9596481999999997
Saudi Arabia,0.02272403000000191,2.1264314,2.3074231,5.9292998,-3.6218767
Uzbekistan,0.018363888333335066,2.1550868,2.3847632,5.6615773,-3.2768141
South Africa,0.01685974000000221,1.6233817,1.7104783,5.3609039,-3.6504256
Panama,0.015525501666668252,2.2451933,2.4607247,5.4848194,-3.0240947
New Zealand,0.013791933333334103,2.2338165,2.3305422,5.2435967,-2.9130545000000003
DR Congo,0.010164223333332792,2.5559812,2.5826521,5.1566371,-2.5739850000000004
Ghana,0.0065709033333335,2.8802932,2.8618462,4.8933749,-2.0315287000000004
Paraguay,0.006088536666666923,2.6453518,3.3072048,6.4259802,-3.1187753999999996
Türkiye,0.0024656683333332697,2.9922743,2.727324,4.378324,-1.6510000000000002
Iran,0.002276141666666626,3.4784988,3.0295845,4.0645854,-1.0350009000000004
Algeria,0.0017697083333333096,3.7704566,3.5544433,4.1229978,-0.5685545000000003
Senegal,0.001496253333333346,3.9718679,3.8382459,4.0974395,-0.25919360000000013
Czechia,0.0012508166666666818,2.774886,3.4929309,4.4531447,-0.9602138
Egypt,0.0007974116666666625,4.2194688,3.6176879,3.5347082,0.0829797000000001
Ecuador,0.0006502333333333293,3.5379483,3.7824592,3.1836695,0.5987896999999998
Austria,0.0004458166666666647,4.7092918,4.4960709,3.5474139,0.9486570000000003
Croatia,0.00030639166666666777,4.8891868,4.3200674,3.2154851,1.1045823000000001
Norway,0.00023445000000000063,5.0836995,5.0313586,3.3426632,1.6886953999999998
Uruguay,0.00018902499999999973,5.1844135,4.6777201,3.140865,1.5368551000000004
Colombia,8.706666666666676e-05,5.5439053,4.8393041,2.720741,2.1185631
Qatar,3.433333333333332e-05,2.113606,2.3599074,5.0255056,-2.6655982
Portugal,2.031666666666667e-05,6.4569891,6.104882,2.372646,3.732236
Belgium,1.8641666666666668e-05,6.6535349,6.0658016,2.2007259,3.8650757000000002
England,1.669166666666667e-05,6.6564086,6.1910923,2.2400512,3.9510411000000003
Argentina,1.1216666666666665e-05,6.7812019,6.2838052,2.1113738,4.1724314
France,1.0883333333333331e-05,6.6564218,6.3763585,2.2086947,4.1676638
Spain,1.45e-06,7.4151707,7.8944822,1.8498124,6.044669799999999
Bosnia & Herzegovina,1.0333333333333333e-06,3.7904216,3.5312808,3.4830237,0.048257100000000275
Netherlands,3.5e-07,5.2349996,5.9677971,3.6926913,2.2751058000000004
Japan,3e-07,4.7554837,5.1911229,3.7421732,1.4489497
Canada,3e-07,4.5295013,4.2952336,2.9976251,1.2976085000000004
Morocco,1.3333333333333334e-07,5.2782627,4.8750358,2.5236261,2.3514097
Switzerland,1e-07,4.6690743,4.1207414,2.8010088,1.3197326
Scotland,0.0,4.4458555,2.589936,3.5761267,-0.9861907000000003
Germany,0.0,6.9651519,10.6760079,2.8681386,7.8078693
South Korea,0.0,6.0153914,4.6699593,3.2346917,1.4352676000000004
Sweden,0.0,4.9191916,6.9712553,4.1834695,2.7877858
Mexico,0.0,6.5789722,4.9773581,1.8019863,3.1753717999999997
Australia,0.0,4.890922,3.8766768,3.1213967,0.7552800999999998
USA,0.0,6.4400804,7.1925159,3.1780206,4.0144953
Ivory Coast,0.0,6.2830941,4.5649022,2.5472774,2.0176247999999997
Brazil,0.0,5.8737591,6.0781859,2.3487234,3.7294625000000003
