team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.5856242933331595,0.4912601,2.0059592,12.5405488,-10.5345896
Iraq,0.15169890333327457,0.636827,2.0655111,9.1807676,-7.115256499999999
Tunisia,0.09507976000002315,1.1641353,2.4610859,9.0544388,-6.593352899999999
Haiti,0.07283371833334773,0.3440812,0.594636,6.5081294,-5.913493399999999
Jordan,0.03928863166665842,1.065241,2.434532,7.3490891,-4.9145571
Panama,0.022645275000002317,1.0831585,1.445883,5.2634489,-3.8175659
Uzbekistan,0.02203171166666955,1.4518473,2.6553275,6.9248213,-4.269493799999999
Türkiye,0.006018646666666901,1.1687215,1.277662,4.5879344,-3.3102723999999997
Algeria,0.0028679899999999483,3.3209155,2.9582492,5.0911758,-2.1329266000000002
Senegal,0.0008132166666666624,3.5789727,4.3258962,5.0153928,-0.6894966
Ecuador,0.0006107616666666617,3.4865648,3.6741084,3.2150879,0.4590205000000003
Qatar,0.0002622250000000002,1.61815,1.8517828,9.1072257,-7.2554429
Croatia,0.00018251666666666656,4.099699,5.5379223,5.578523,-0.04060069999999971
New Zealand,1.2866666666666665e-05,2.1305677,3.4189892,6.1312397,-2.7122505
Saudi Arabia,1.0749999999999999e-05,2.6400349,2.76992,5.1249888,-2.3550687999999997
South Africa,6.95e-06,1.7417257,1.7989916,4.7359587,-2.9369671000000004
Iran,3.35e-06,2.638806,3.6428172,5.3216461,-1.6788288999999996
Cape Verde,3e-06,2.8709483,1.8120783,3.1034477,-1.2913693999999998
DR Congo,2.4166666666666663e-06,3.264535,3.1258178,3.8559335,-0.7301156999999998
Bosnia & Herzegovina,1.7333333333333336e-06,3.1856815,4.1072257,5.8517828,-1.7445570999999997
Czechia,6.5e-07,2.0676175,3.0214391,4.4410503,-1.4196111999999999
Uruguay,4e-07,3.9197185,3.6531952,3.4888575,0.16433769999999992
Egypt,1e-07,4.6866959,4.0155923,2.6761824,1.3394098999999997
Belgium,1e-07,5.6709359,5.4372935,2.385624,3.0516695
Netherlands,3.3333333333333334e-08,5.2759377,6.2152427,3.809594,2.4056487
USA,0.0,7.5850441,7.5879344,2.277662,5.310272400000001
Australia,0.0,4.1966728,2.8865669,3.07391,-0.1873431000000001
Austria,0.0,5.1849475,5.0803643,3.9292415,1.1511228000000004
Switzerland,0.0,5.4978973,6.3100399,3.1237269,3.1863129999999997
Sweden,0.0,5.0148095,7.1922576,4.3105451,2.8817125
Spain,0.0,5.7641979,4.801768,1.3196675,3.4821005
South Korea,0.0,5.024328,3.7359587,2.7989916,0.9369670999999999
Scotland,0.0,3.5514348,1.7274789,3.0757943,-1.3483154000000002
Colombia,0.0,6.2208969,5.8286049,3.1340171,2.6945878000000003
Portugal,0.0,5.1687556,4.9330206,2.6279989,2.3050216999999997
Paraguay,0.0,4.4930455,3.07391,4.8865669,-1.8126569
Norway,0.0,5.4611096,6.4520047,3.8880964,2.5639083
Morocco,0.0,6.514556,4.5081294,1.594636,2.9134933999999997
Mexico,0.0,7.6672056,4.4410503,1.0214391,3.4196111999999994
Argentina,0.0,7.5606304,7.3200814,1.4237205,5.8963609
Ivory Coast,0.0,6.3295223,4.7958195,2.6736564,2.1221631000000003
Brazil,0.0,6.2555515,6.0757943,1.7274789,4.348315400000001
Canada,0.0,5.2291114,8.1237269,2.3100399,5.813687
Ghana,0.0,4.1173707,2.395493,4.1632017,-1.7677087
Germany,0.0,7.0343816,10.8827851,2.9293791,7.953405999999999
France,0.0,7.5530356,7.7429678,2.502123,5.2408448
England,0.0,7.9408413,8.8887283,3.262853,5.625875300000001
Japan,0.0,4.6568584,5.1497412,3.8437495,1.3059917000000003
