match_id,commence_time,team,opponent,team_xg,opponent_xg
ce017bea1a26252278053ce759e2416b,2026-06-30T17:00:00Z,Ivory Coast,Norway,1.1537902368812494,1.5362230751362067
ce017bea1a26252278053ce759e2416b,2026-06-30T17:00:00Z,Norway,Ivory Coast,1.5362230751362067,1.1537902368812494
0b5491529142c9bcc3f88bf45ccb0a7b,2026-06-30T21:00:00Z,France,Sweden,2.5275064755966414,0.824934454462576
0b5491529142c9bcc3f88bf45ccb0a7b,2026-06-30T21:00:00Z,Sweden,France,0.824934454462576,2.5275064755966414
f58c55a9da96af562c31b7c5cca40187,2026-07-01T01:00:00Z,Ecuador,Mexico,0.8322194510191713,1.174645817221259
f58c55a9da96af562c31b7c5cca40187,2026-07-01T01:00:00Z,Mexico,Ecuador,1.174645817221259,0.8322194510191713
5ff7744314f224c18d1604ee9cc19263,2026-07-01T16:00:00Z,DR Congo,England,0.5170888830369432,2.1409045290175537
5ff7744314f224c18d1604ee9cc19263,2026-07-01T16:00:00Z,England,DR Congo,2.1409045290175537,0.5170888830369432
658ac8cbf214ca3cc150109b4ddc1e74,2026-07-01T20:00:00Z,Belgium,Senegal,1.3740212560482457,1.0362086276633253
658ac8cbf214ca3cc150109b4ddc1e74,2026-07-01T20:00:00Z,Senegal,Belgium,1.0362086276633253,1.3740212560482457
9eeb4876001f5a52ce3c3641bd5f1f2f,2026-07-02T00:00:00Z,Bosnia & Herzegovina,USA,0.6977765679033255,2.092868652812417
9eeb4876001f5a52ce3c3641bd5f1f2f,2026-07-02T00:00:00Z,USA,Bosnia & Herzegovina,2.092868652812417,0.6977765679033255
a518ac20df8f5c732b881e213ae0c230,2026-07-02T19:00:00Z,Austria,Spain,0.6409208497329882,2.1422996612278595
a518ac20df8f5c732b881e213ae0c230,2026-07-02T19:00:00Z,Spain,Austria,2.1422996612278595,0.6409208497329882
852b4baf0be4b9eef2a30596a8d39249,2026-07-02T23:00:00Z,Croatia,Portugal,0.8573322537505704,1.584949676968424
852b4baf0be4b9eef2a30596a8d39249,2026-07-02T23:00:00Z,Portugal,Croatia,1.584949676968424,0.8573322537505704
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,Algeria,Switzerland,0.9697714052974198,1.4321018261554364
c17fe2e46190d7ab6af01504ff240e82,2026-07-03T03:00:00Z,Switzerland,Algeria,1.4321018261554364,0.9697714052974198
fb270a3dac2b682c861bd674a5ff4a04,2026-07-03T18:00:00Z,Australia,Egypt,0.9340827268055882,1.1349152109271115
fb270a3dac2b682c861bd674a5ff4a04,2026-07-03T18:00:00Z,Egypt,Australia,1.1349152109271115,0.9340827268055882
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,Argentina,Cape Verde,2.491430018856009,0.4691031426786933
3e161b2448ed76d6b0c0f5bda6fd5bf2,2026-07-03T22:00:00Z,Cape Verde,Argentina,0.4691031426786933,2.491430018856009
88e032a2b2e5042d26db3f0da1df924a,2026-07-04T01:30:00Z,Colombia,Ghana,1.7383656954186093,0.6519155983389254
88e032a2b2e5042d26db3f0da1df924a,2026-07-04T01:30:00Z,Ghana,Colombia,0.6519155983389254,1.7383656954186093
9c7073ae2c29ee4881bb695f92168c68,2026-07-04T17:00:00Z,Canada,Morocco,0.8290866553084217,1.5574886423121488
9c7073ae2c29ee4881bb695f92168c68,2026-07-04T17:00:00Z,Morocco,Canada,1.5574886423121488,0.8290866553084217
