team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Curaçao,0.2583999666666712,0.853092,1.663775,8.457842,-6.794066999999999
Iraq,0.1400188166666654,1.171425,1.794427,7.2412,-5.446773
Haiti,0.11951724999999862,1.401579,2.098383,7.334717,-5.236334
Jordan,0.0856198499999998,1.534671,2.180225,6.692133,-4.511908
Qatar,0.06777006666666723,1.614236,1.982468,6.15403,-4.171562
Cape Verde,0.043532016666666826,2.216124,2.493543,6.209983,-3.7164400000000004
Saudi Arabia,0.04294431666666672,2.132484,2.36184,5.97525,-3.61341
South Africa,0.03746336666666661,1.616385,1.716137,5.380216,-3.664079
Uzbekistan,0.035326149999999876,2.176796,2.458748,5.71455,-3.255802
Panama,0.03077893333333317,2.267216,2.531461,5.531982,-3.000521
New Zealand,0.029085616666666536,2.21549,2.364783,5.323046,-2.9582629999999996
Tunisia,0.020244649999999993,2.452094,2.531257,4.980555,-2.4492979999999998
DR Congo,0.019874400000000004,2.596904,2.631356,5.132876,-2.5015200000000006
Ghana,0.01328366666666669,2.911979,2.91729,4.903222,-1.9859320000000005
Australia,0.012567583333333368,2.840413,2.824517,4.6584,-1.8338830000000002
Scotland,0.005065116666666664,3.67078,3.56747,4.268264,-0.7007940000000001
Bosnia & Herzegovina,0.004801083333333334,3.598331,3.344348,4.113716,-0.769368
Iran,0.0046882500000000014,3.549608,3.13221,4.037496,-0.9052859999999998
Sweden,0.004224583333333338,3.687702,3.429118,4.08534,-0.6562220000000005
Algeria,0.0041330000000000065,3.76033,3.566311,4.158458,-0.5921470000000006
Senegal,0.003333416666666669,3.965788,3.842639,4.111537,-0.2688980000000001
Paraguay,0.0030735833333333353,3.802458,3.278884,3.655425,-0.376541
Czechia,0.0027103333333333354,2.824044,3.555683,4.444955,-0.8892720000000001
Egypt,0.0017459166666666665,4.237968,3.654506,3.540652,0.1138539999999999
Ivory Coast,0.0016896666666666661,4.364865,4.18438,3.666212,0.5181680000000002
Japan,0.0012170000000000002,4.612471,4.12052,3.436826,0.683694
Austria,0.0010285000000000006,4.723888,4.561928,3.578245,0.9836830000000001
Türkiye,0.0008825000000000004,4.836032,4.338237,3.302391,1.0358460000000003
Morocco,0.0008051666666666667,4.836591,4.435095,3.322903,1.1121919999999994
Ecuador,0.0007399166666666667,4.906384,4.553033,3.223427,1.329606
USA,0.0007070333333333333,4.943815,4.314381,3.139803,1.174578
Croatia,0.0006743333333333335,4.882442,4.338592,3.235843,1.1027490000000002
Norway,0.0005256666666666665,5.063929,4.978114,3.355106,1.6230079999999996
Uruguay,0.00045224999999999996,5.191694,4.766289,3.199316,1.5669730000000004
Canada,0.0003269166666666667,5.318417,4.6787,2.864028,1.8146720000000003
Colombia,0.00022550000000000006,5.504095,4.81879,2.76604,2.05275
Netherlands,0.00018375000000000002,5.767533,5.23629,2.814464,2.4218260000000003
Switzerland,9.086666666666668e-05,6.138198,5.573115,2.446857,3.1262579999999995
England,5.0833333333333333e-05,6.608411,6.190268,2.306564,3.883704
Belgium,4.541666666666667e-05,6.584137,6.003085,2.25339,3.7496949999999996
Portugal,4.425e-05,6.428836,6.1583,2.453728,3.7045719999999998
Argentina,3.433333333333334e-05,6.745167,6.27541,2.155038,4.120372
France,3.0833333333333335e-05,6.623997,6.324199,2.231536,4.092663
Germany,2.8333333333333332e-05,6.763808,7.328977,2.382684,4.946293000000001
Brazil,1.2e-05,6.895698,6.972146,2.14721,4.824936000000001
Spain,3e-06,7.337862,7.667905,1.905028,5.7628770000000005
South Korea,0.0,6.005383,4.667637,3.248552,1.419085
Mexico,0.0,6.549799,4.97737,1.843104,3.1342659999999993
