team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Tunisia,0.6902406916665098,0.2838421,1.5955717,11.7790475,-10.1834758
Iraq,0.15013128166662318,0.6402851,2.0943675,9.2356175,-7.141249999999999
Haiti,0.0714704316666786,0.3211895,0.5889698,6.5934335,-6.0044637
Jordan,0.0358847949999927,1.064575,2.4211348,7.3279427,-4.9068079000000004
Panama,0.021796841666668704,1.0619369,1.4256224,5.2976311,-3.8720087000000003
Uzbekistan,0.020218073333335775,1.4490687,2.6599811,6.9359832,-4.2760020999999995
Türkiye,0.006144031666666894,1.1036202,1.2477585,4.6628539,-3.4150954000000002
Algeria,0.002522644999999954,3.3174835,2.9563107,5.0950182,-2.1387075
Senegal,0.0007853083333333299,3.563022,4.3502944,5.0673195,-0.7170250999999999
Curaçao,0.00040760000000000075,1.2660954,1.5357831,9.7366976,-8.2009145
Qatar,0.00020741666666666632,1.6054065,1.855425,9.1455609,-7.290135899999999
Croatia,0.00016659999999999996,4.1119315,5.5483399,5.5700654,-0.02172549999999962
Saudi Arabia,8.199999999999998e-06,2.6437449,2.8403585,5.3008693,-2.4605107999999998
New Zealand,7.4833333333333326e-06,2.1019342,3.3835734,6.138085,-2.7545116000000003
Iran,2.45e-06,2.6173888,3.6365911,5.3522174,-1.7156262999999998
Cape Verde,2.3e-06,2.86262,1.789515,3.0808347,-1.2913197
South Africa,2.1333333333333334e-06,1.7484293,1.8071569,4.7347143,-2.9275574000000004
DR Congo,1.1166666666666668e-06,3.2729621,3.1272719,3.8455682,-0.7182963
Ecuador,2e-07,2.0452677,1.1148083,2.5981315,-1.4833232
Bosnia & Herzegovina,2e-07,3.2022966,4.1455609,5.855425,-1.7098640999999999
Uruguay,1.5e-07,3.9205337,3.6211307,3.4594725,0.1616582000000002
Czechia,5e-08,2.0213707,2.9982541,4.4888986,-1.4906444999999997
Scotland,0.0,3.557653,1.727858,3.0589025,-1.3310445
Sweden,0.0,4.0502367,7.140692,7.6223729,-0.48168090000000063
South Korea,0.0,5.0172835,3.7347143,2.8071569,0.9275574
Spain,0.0,5.7707412,4.9708268,1.3806545,3.5901723000000003
Paraguay,0.0,4.4886116,3.0541404,4.8718394,-1.8176989999999997
Switzerland,0.0,5.499481,6.3084585,3.1201947,3.1882638000000005
Austria,0.0,5.1492048,5.0675446,3.9884022,1.0791423999999998
Australia,0.0,4.1976779,2.8718394,3.0541404,-0.18230100000000027
USA,0.0,7.6551981,7.6628539,2.2477585,5.4150954
Portugal,0.0,5.1709848,4.9468706,2.6348772,2.3119933999999995
Netherlands,0.0,6.5968895,9.7790475,3.5955717,6.183475800000001
Belgium,0.0,5.679945,5.452153,2.3830064,3.0691466
Norway,0.0,5.4764808,6.4926887,3.9060669,2.5866218000000005
Colombia,0.0,6.2129475,5.8204643,3.1381593,2.6823050000000004
Morocco,0.0,6.5454678,4.5934335,1.5889698,3.0044636999999996
Mexico,0.0,7.7177541,4.4888986,0.9982541,3.4906444999999997
Argentina,0.0,7.6069842,7.3600342,1.3936612,5.966373000000001
Ivory Coast,0.0,5.6163971,4.7366976,2.5357831,2.2009145
Brazil,0.0,6.2473934,6.0589025,1.727858,4.331044500000001
Canada,0.0,5.2274629,8.1201947,2.3084585,5.8117362
Ghana,0.0,4.1046637,2.3808142,4.1720614,-1.7912471999999995
Germany,0.0,7.7059385,10.5981315,3.1148083,7.483323199999999
France,0.0,7.5556532,7.79139,2.5197367,5.2716533
England,0.0,7.9684787,8.9213526,3.2363712,5.684981400000001
Egypt,0.0,4.7329088,4.0381494,2.6371581,1.4009912999999998
Japan,0.0,5.7031711,7.6223729,3.140692,4.481680900000001
