team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Iraq,1.0,0.0,1.0,12.0,-11.0
Algeria,0.0,4.0,5.0,7.0,-2.0
Jordan,0.0,0.0,3.0,8.0,-5.0
Morocco,0.0,7.0,6.0,3.0,3.0
Netherlands,0.0,7.0,10.0,4.0,6.0
New Zealand,0.0,1.0,4.0,10.0,-6.0
Norway,0.0,6.0,8.0,7.0,1.0
Panama,0.0,0.0,0.0,4.0,-4.0
Paraguay,0.0,4.0,2.0,4.0,-2.0
Portugal,0.0,5.0,6.0,1.0,5.0
Qatar,0.0,1.0,2.0,10.0,-8.0
Saudi Arabia,0.0,2.0,1.0,5.0,-4.0
Scotland,0.0,3.0,1.0,4.0,-3.0
Senegal,0.0,3.0,8.0,6.0,2.0
South Africa,0.0,4.0,2.0,3.0,-1.0
South Korea,0.0,3.0,2.0,3.0,-1.0
Spain,0.0,7.0,5.0,0.0,5.0
Sweden,0.0,4.0,7.0,7.0,0.0
Switzerland,0.0,7.0,7.0,3.0,4.0
Tunisia,0.0,0.0,2.0,12.0,-10.0
Türkiye,0.0,3.0,3.0,5.0,-2.0
USA,0.0,6.0,8.0,4.0,4.0
Uruguay,0.0,2.0,3.0,4.0,-1.0
Mexico,0.0,9.0,6.0,0.0,6.0
Japan,0.0,5.0,7.0,3.0,4.0
Argentina,0.0,9.0,8.0,1.0,7.0
Curaçao,0.0,1.0,1.0,9.0,-8.0
Australia,0.0,4.0,2.0,2.0,0.0
Austria,0.0,4.0,6.0,6.0,0.0
Belgium,0.0,5.0,6.0,2.0,4.0
Bosnia & Herzegovina,0.0,4.0,5.0,6.0,-1.0
Brazil,0.0,7.0,7.0,1.0,6.0
Canada,0.0,4.0,8.0,3.0,5.0
Cape Verde,0.0,3.0,2.0,2.0,0.0
Colombia,0.0,7.0,4.0,1.0,3.0
Croatia,0.0,6.0,5.0,5.0,0.0
Czechia,0.0,1.0,2.0,6.0,-4.0
Ivory Coast,0.0,6.0,4.0,2.0,2.0
DR Congo,0.0,4.0,4.0,3.0,1.0
Ecuador,0.0,4.0,2.0,2.0,0.0
Egypt,0.0,5.0,5.0,3.0,2.0
England,0.0,7.0,6.0,2.0,4.0
France,0.0,9.0,10.0,2.0,8.0
Germany,0.0,6.0,10.0,4.0,6.0
Ghana,0.0,4.0,2.0,2.0,0.0
Haiti,0.0,0.0,2.0,8.0,-6.0
Iran,0.0,3.0,3.0,3.0,0.0
Uzbekistan,0.0,0.0,2.0,11.0,-9.0
