team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Tunisia,0.7130128833331348,0.2443472,1.5154166,11.805749,-10.2903324
Iraq,0.16631784166661118,0.3892364,1.6661566,9.4750113,-7.8088547
Haiti,0.0575828583333441,0.309787,0.5653016,6.5938688,-6.0285672
Panama,0.02333357500000239,0.9930106,1.4778715,5.6005001,-4.1226286
Uzbekistan,0.02262145000000376,1.3616936,2.6280977,7.2512299,-4.623132200000001
Jordan,0.01242466666666613,0.3511391,2.6082597,7.5086722,-4.9004125
Türkiye,0.004279508333333455,1.035868,1.195787,4.7181488,-3.5223617999999997
Senegal,0.0002379166666666668,2.4608915,5.4750113,6.6661566,-1.1911452999999996
Croatia,8.675000000000005e-05,4.1419846,5.6899186,5.6298755,0.06004310000000057
Curaçao,6.341666666666669e-05,1.2748758,1.5417522,9.7058218,-8.164069600000001
Qatar,3.468333333333333e-05,1.5813536,1.8380684,9.1813966,-7.343328199999999
Saudi Arabia,2.2e-06,2.2429863,2.1918632,6.3680659,-4.176202700000001
New Zealand,1.35e-06,1.3384198,3.5928999,7.5273409,-3.9344409999999996
South Africa,4.5e-07,1.7901002,1.8270067,4.6782415,-2.8512348000000003
Ecuador,2e-07,2.0032201,1.1298341,2.6922644,-1.5624303
Bosnia & Herzegovina,1.5e-07,3.2304305,4.1813966,5.8380684,-1.6566717999999998
DR Congo,1e-07,3.3101054,3.1354028,3.7797615,-0.6443587000000002
Netherlands,0.0,6.6451179,9.805749,3.5154166,6.2903324000000005
South Korea,0.0,4.9690642,3.6782415,2.8270067,0.8512347999999998
Scotland,0.0,3.5388024,1.6921145,3.0477119,-1.3555974
Spain,0.0,6.1544994,5.9517271,0.7837286,5.1679985
Sweden,0.0,3.9866999,7.0907994,7.671502,-0.5807026000000004
Switzerland,0.0,5.529646,6.3405381,3.1109786,3.2295594999999997
Portugal,0.0,5.2970833,5.2731939,2.5990053,2.6741886
Paraguay,0.0,4.4831852,3.0525493,4.8765682,-1.8240189000000004
USA,0.0,7.7262199,7.7181488,2.195787,5.5223618
Uruguay,0.0,2.6363617,3.7837286,4.9517271,-1.1679985000000004
Norway,0.0,6.8086368,8.0286354,4.9347191,3.093916300000001
Algeria,0.0,4.2197151,2.9400231,5.1057131,-2.16569
Morocco,0.0,6.5586131,4.5938688,1.5653016,3.0285672000000003
Czechia,0.0,2.010385,3.0083798,4.521329,-1.5129491999999995
Australia,0.0,4.2030677,2.8765682,3.0525493,-0.1759811
Austria,0.0,4.4773923,4.1057131,3.9400231,0.16569000000000011
Belgium,0.0,4.5220382,3.5273409,1.5928999,1.934441
Brazil,0.0,6.2671246,6.0477119,1.6921145,4.355597400000001
Canada,0.0,5.199577,8.1109786,2.3405381,5.770440499999999
Cape Verde,0.0,3.4920166,3.3680659,3.1918632,0.17620270000000016
Colombia,0.0,6.1581011,5.7506691,3.1573668,2.5933022999999995
Egypt,0.0,5.5513815,5.1670766,2.9066009,2.2604756999999998
Mexico,0.0,7.7319249,4.521329,1.0083798,3.5129491999999995
England,0.0,8.0682265,9.1491047,3.1965122,5.952592500000001
France,0.0,7.9731042,7.9347191,2.0286354,5.9060837
Germany,0.0,7.7562387,10.6922644,3.1298341,7.562430299999999
Ghana,0.0,4.0795486,2.3485162,4.2385232,-1.8900070000000002
Iran,0.0,3.1501942,2.9066009,3.1670766,-0.2604757000000002
Ivory Coast,0.0,5.6044667,4.7058218,2.5417522,2.1640696
Argentina,0.0,8.5065014,7.5086722,0.6082597,6.900412500000001
Japan,0.0,5.7707094,7.671502,3.0907994,4.5807026
