match_id,match_number,commence_time,team,opponent,p_win,p_draw,p_loss,team_xg,opponent_xg,expected_total_goals,bookmaker_count
80d82d1113934bfbea4ce8daf37a2433,1,2026-06-11T19:00:00Z,Mexico,South Africa,0.6675202924174536,0.21804071063303457,0.11443899694951187,1.806485077948025,0.5925654903760453,2.3990505683240704,20
80d82d1113934bfbea4ce8daf37a2433,1,2026-06-11T19:00:00Z,South Africa,Mexico,0.11443899694951187,0.21804071063303457,0.6675202924174536,0.5925654903760453,1.806485077948025,2.3990505683240704,20
384cbb5d76b535896a24fe65f93cfac8,2,2026-06-12T02:00:00Z,Czechia,South Korea,0.3260521416951246,0.3141474560636544,0.359800402241221,1.1389478571320746,1.2045662521931817,2.3435141093252563,19
384cbb5d76b535896a24fe65f93cfac8,2,2026-06-12T02:00:00Z,South Korea,Czechia,0.359800402241221,0.3141474560636544,0.3260521416951246,1.2045662521931817,1.1389478571320746,2.3435141093252563,19
d1f4f946c70a0b4e81f5d43e9d32361c,3,2026-06-12T19:00:00Z,Bosnia & Herzegovina,Canada,0.2054653606778744,0.27339511825538343,0.5211395210667422,0.8953200067497351,1.5509095198888854,2.4462295266386205,20
d1f4f946c70a0b4e81f5d43e9d32361c,3,2026-06-12T19:00:00Z,Canada,Bosnia & Herzegovina,0.5211395210667422,0.27339511825538343,0.2054653606778744,1.5509095198888854,0.8953200067497351,2.4462295266386205,20
c12986f447a515fbe641addd786dbb24,4,2026-06-13T01:00:00Z,Paraguay,USA,0.2257721313621083,0.2824000943365291,0.49182777430136265,0.9207854992278379,1.4646691619841772,2.385454661212015,20
c12986f447a515fbe641addd786dbb24,4,2026-06-13T01:00:00Z,USA,Paraguay,0.49182777430136265,0.2824000943365291,0.2257721313621083,1.4646691619841772,0.9207854992278379,2.385454661212015,20
26634922d3f78c146440816023e40de8,5,2026-06-13T19:00:00Z,Qatar,Switzerland,0.06932236285107293,0.14711259797115733,0.7835650391777698,0.5666026212016972,2.415516437754604,2.982119058956301,20
26634922d3f78c146440816023e40de8,5,2026-06-13T19:00:00Z,Switzerland,Qatar,0.7835650391777698,0.14711259797115733,0.06932236285107293,2.415516437754604,0.5666026212016972,2.982119058956301,20
f6c8748a16516e0998f95de14235432a,6,2026-06-13T22:00:00Z,Brazil,Morocco,0.5706719359605944,0.25289187813418657,0.17643618590521903,1.7203495523673202,0.8705383277039449,2.590887880071265,20
f6c8748a16516e0998f95de14235432a,6,2026-06-13T22:00:00Z,Morocco,Brazil,0.17643618590521903,0.25289187813418657,0.5706719359605944,0.8705383277039449,1.7203495523673202,2.590887880071265,20
