team,worst_probability,expected_points,expected_goals_for,expected_goals_against,expected_goal_difference
Tunisia,0.7040969499998408,0.246982,1.5303891,11.8261986,-10.295809499999999
Iraq,0.14943669499995776,0.6334421,2.1242891,9.3695167,-7.2452276
Haiti,0.0629737866666772,0.3225451,0.5739438,6.5537915,-5.9798477
Jordan,0.03479411666665957,1.0349108,2.4057442,7.37936,-4.9736158
Uzbekistan,0.01964435333333578,1.423749,2.6373644,6.9931939,-4.3558295
Panama,0.019506311666668493,1.0723237,1.4415817,5.2930857,-3.851504
Türkiye,0.0060243700000002015,1.0459277,1.2085213,4.7157165,-3.5071952
Algeria,0.0020901083333332983,3.3506389,2.9822456,5.0679709,-2.0857252999999996
Senegal,0.0007752749999999965,3.5007423,4.3257326,5.1458833,-0.8201507000000001
Curaçao,0.0003266833333333341,1.2735756,1.5458616,9.7203264,-8.174464799999999
Qatar,0.00016551666666666633,1.6226881,1.8705632,9.1255112,-7.254948
Croatia,0.0001494166666666666,4.1200507,5.5746336,5.5797082,-0.005074599999999485
Saudi Arabia,8.199999999999998e-06,2.2569778,2.2058977,6.3630186,-4.157120900000001
New Zealand,4.05e-06,1.3567425,3.6079593,7.4855729,-3.8776136
DR Congo,1.45e-06,3.276741,3.1140774,3.8154054,-0.7013279999999997
South Africa,1.4166666666666667e-06,1.7707902,1.8094174,4.6923303,-2.8829129
Bosnia & Herzegovina,6.5e-07,3.1821088,4.1255112,5.8705632,-1.7450520000000003
Ecuador,5.5e-07,2.0380267,1.1495472,2.6550083,-1.5054611
Czechia,1e-07,2.0128738,3.0035961,4.5104536,-1.5068574999999997
Cape Verde,0.0,3.4786367,3.3630186,3.2058977,0.15712090000000023
South Korea,0.0,4.9901555,3.6923303,2.8094174,0.8829129
Scotland,0.0,3.5508777,1.7169252,3.0572109,-1.3402857
Switzerland,0.0,5.4902188,6.29714,3.1218076,3.1753324
Spain,0.0,6.1349853,5.92559,0.7916558,5.1339342
Sweden,0.0,3.9870387,7.1002518,7.6825521,-0.5823003
Paraguay,0.0,4.4753216,3.0396996,4.8731072,-1.8334075999999997
Austria,0.0,5.0751439,5.0049592,4.0642244,0.9407348000000004
Australia,0.0,4.2090881,2.8731072,3.0396996,-0.16659239999999986
USA,0.0,7.7160581,7.7157165,2.2085213,5.5071952
Uruguay,0.0,2.6528188,3.7916558,4.92559,-1.1339341999999997
Portugal,0.0,5.2111581,5.0116679,2.6095237,2.4021442
Netherlands,0.0,6.642677,9.8261986,3.5303891,6.2958095
Belgium,0.0,4.498678,3.4855729,1.6079593,1.8776136
Norway,0.0,5.5327611,6.5860249,3.9270889,2.6589359999999997
Colombia,0.0,6.1983994,5.7875647,3.1325514,2.6550133
Morocco,0.0,6.5417804,4.5537915,1.5739438,2.9798477
Mexico,0.0,7.7282616,4.5104536,1.0035961,3.5068574999999997
Argentina,0.0,7.6925951,7.4613388,1.3427325,6.1186063
Ivory Coast,0.0,5.6067377,4.7203264,2.5458616,2.1744648000000004
Brazil,0.0,6.2546359,6.0572109,1.7169252,4.340285700000001
Iran,0.0,3.1453342,2.9135452,3.18273,-0.26918479999999967
Canada,0.0,5.2356631,8.1218076,2.29714,5.8246676
Ghana,0.0,4.0974684,2.3728017,4.1661891,-1.7933874000000003
Germany,0.0,7.7183727,10.6550083,3.1495472,7.5054611
France,0.0,7.5822986,7.970873,2.5644307,5.4064423
England,0.0,7.956483,8.8846412,3.2346752,5.649966000000001
Egypt,0.0,5.5585533,5.18273,2.9135452,2.2691848
Japan,0.0,5.7712618,7.6825521,3.1002518,4.5823003
